pairCount,WhichEye,plexonGoTime,Contrast,BlinkDetected
1.000000,0.000000,3657.944000,0.300000,0.000000
1.000000,1.000000,3660.052000,0.300000,0.000000
2.000000,0.000000,3662.084000,0.300000,0.000000
2.000000,1.000000,3664.162000,0.300000,0.000000
3.000000,0.000000,3666.240000,0.300000,0.000000
3.000000,1.000000,3668.302000,0.300000,0.000000
4.000000,0.000000,3670.365000,0.300000,0.000000
4.000000,1.000000,3672.396000,0.300000,0.000000
5.000000,0.000000,3674.474000,0.300000,0.000000
5.000000,1.000000,3676.549000,0.300000,1.000000
5.000000,0.000000,3678.333000,0.300000,0.000000
5.000000,1.000000,3680.411000,0.300000,1.000000
5.000000,0.000000,3682.049000,0.300000,1.000000
5.000000,0.000000,3683.693000,0.300000,1.000000
5.000000,0.000000,3685.538000,0.300000,1.000000
5.000000,0.000000,3687.599000,0.300000,1.000000
5.000000,0.000000,3689.561000,0.300000,1.000000
5.000000,0.000000,3691.090000,0.300000,1.000000
5.000000,0.000000,3692.686000,0.300000,1.000000
5.000000,0.000000,3694.753000,0.300000,0.000000
5.000000,1.000000,3696.843000,0.300000,0.000000
6.000000,0.000000,3698.921000,0.300000,1.000000
6.000000,0.000000,3700.593000,0.300000,0.000000
6.000000,1.000000,3702.639000,0.300000,0.000000
7.000000,0.000000,3704.702000,0.300000,1.000000
7.000000,0.000000,3706.342000,0.300000,0.000000
7.000000,1.000000,3708.420000,0.300000,0.000000
8.000000,0.000000,3710.498000,0.300000,1.000000
8.000000,0.000000,3712.576000,0.300000,0.000000
8.000000,1.000000,3714.670000,0.300000,1.000000
8.000000,0.000000,3716.373000,0.300000,0.000000
8.000000,1.000000,3718.451000,0.300000,0.000000
9.000000,0.000000,3720.539000,0.300000,1.000000
9.000000,0.000000,3722.289000,0.300000,0.000000
9.000000,1.000000,3724.367000,0.300000,0.000000
10.000000,0.000000,3726.461000,0.300000,1.000000
10.000000,0.000000,3728.539000,0.300000,0.000000
10.000000,1.000000,3730.586000,0.300000,1.000000
10.000000,0.000000,3732.333000,0.300000,0.000000
10.000000,1.000000,3734.426000,0.300000,1.000000
10.000000,0.000000,3736.507000,0.300000,0.000000
10.000000,1.000000,3738.553000,0.300000,0.000000
1.000000,0.000000,3757.799000,0.300000,0.000000
1.000000,1.000000,3759.860000,0.300000,1.000000
1.000000,0.000000,3761.938000,0.300000,0.000000
1.000000,1.000000,3763.985000,0.300000,0.000000
2.000000,0.000000,3766.048000,0.300000,0.000000
2.000000,1.000000,3768.091000,0.300000,1.000000
2.000000,0.000000,3769.766000,0.300000,0.000000
2.000000,1.000000,3771.798000,0.300000,0.000000
3.000000,0.000000,3773.844000,0.300000,0.000000
3.000000,1.000000,3775.926000,0.300000,1.000000
3.000000,0.000000,3777.627000,0.300000,0.000000
3.000000,1.000000,3779.688000,0.300000,0.000000
4.000000,0.000000,3781.766000,0.300000,1.000000
4.000000,0.000000,3783.501000,0.300000,0.000000
4.000000,1.000000,3785.563000,0.300000,1.000000
4.000000,0.000000,3787.101000,0.300000,1.000000
4.000000,0.000000,3788.854000,0.300000,0.000000
4.000000,1.000000,3790.902000,0.300000,0.000000
5.000000,0.000000,3792.932000,0.300000,1.000000
5.000000,0.000000,3794.760000,0.300000,0.000000
5.000000,1.000000,3796.853000,0.300000,0.000000
6.000000,0.000000,3798.932000,0.300000,1.000000
6.000000,0.000000,3800.994000,0.300000,0.000000
6.000000,1.000000,3803.056000,0.300000,0.000000
7.000000,0.000000,3805.119000,0.300000,1.000000
7.000000,0.000000,3807.072000,0.300000,0.000000
7.000000,1.000000,3809.134000,0.300000,0.000000
8.000000,0.000000,3811.166000,0.300000,1.000000
8.000000,0.000000,3813.119000,0.300000,0.000000
8.000000,1.000000,3815.165000,0.300000,0.000000
9.000000,0.000000,3817.228000,0.300000,1.000000
9.000000,0.000000,3819.035000,0.300000,0.000000
9.000000,1.000000,3821.082000,0.300000,1.000000
9.000000,0.000000,3823.379000,0.300000,1.000000
9.000000,0.000000,3825.160000,0.300000,1.000000
9.000000,0.000000,3828.300000,0.300000,0.000000
9.000000,1.000000,3830.332000,0.300000,1.000000
9.000000,0.000000,3832.378000,0.300000,1.000000
9.000000,0.000000,3834.425000,0.300000,1.000000
9.000000,0.000000,3836.472000,0.300000,1.000000
9.000000,0.000000,3838.314000,0.300000,1.000000
9.000000,0.000000,3840.051000,0.300000,0.000000
9.000000,1.000000,3842.128000,0.300000,0.000000
10.000000,0.000000,3844.175000,0.300000,0.000000
10.000000,1.000000,3846.237000,0.300000,0.000000
1.000000,0.000000,3862.840000,0.300000,1.000000
1.000000,0.000000,3864.903000,0.300000,0.000000
1.000000,1.000000,3866.981000,0.300000,0.000000
2.000000,0.000000,3869.043000,0.300000,0.000000
2.000000,1.000000,3871.137000,0.300000,0.000000
3.000000,0.000000,3873.216000,0.300000,1.000000
3.000000,0.000000,3874.918000,0.300000,0.000000
3.000000,1.000000,3876.949000,0.300000,0.000000
4.000000,0.000000,3878.996000,0.300000,0.000000
4.000000,1.000000,3881.043000,0.300000,0.000000
5.000000,0.000000,3883.107000,0.300000,0.000000
5.000000,1.000000,3885.168000,0.300000,0.000000
6.000000,0.000000,3887.214000,0.300000,0.000000
