iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5,Presentation 6,Presentation 7,Presentation 8,Presentation 9,Presentation 10
1.000000,7567.875000,1.000000,1.000000,0.500019,0.500009,0.500011,0.500007,0.500011,0.500028,0.500010,0.500007,0.500007,0.500018
2.000000,7579.280000,1.000000,2.000000,0.500014,0.500029,0.500016,0.500015,0.500018,0.500015,0.500018,0.500044,0.500015,0.500014
3.000000,7590.643000,1.000000,3.000000,0.500018,0.500019,0.500018,0.500024,0.500019,0.500017,0.500016,0.500019,0.500018,0.500018
4.000000,7601.831000,1.000000,3.000000,0.500020,0.500023,0.500039,0.500045,0.500019,0.500019,0.500018,0.500014,0.500024,0.500018
5.000000,7613.723000,1.000000,1.000000,0.500019,0.500018,0.500019,0.500017,0.500017,0.500026,0.500017,0.500019,0.500017,0.500018
6.000000,7626.408000,1.000000,2.000000,0.500016,0.500041,0.500017,0.500017,0.500018,0.500017,0.500019,0.500015,0.500011,0.500009
7.000000,7637.475000,1.000000,2.000000,0.500041,0.500043,0.500013,0.500009,0.500011,0.500009,0.500019,0.500019,0.500021,0.500016
8.000000,7648.646000,1.000000,1.000000,0.500017,0.500009,0.500011,0.500014,0.500035,0.500017,0.500021,0.500019,0.500017,0.500018
9.000000,7659.801000,1.000000,3.000000,0.500018,0.500044,0.500018,0.500018,0.500018,0.500018,0.500016,0.500017,0.500035,0.500016
10.000000,7671.099000,1.000000,1.000000,0.500014,0.500014,0.500013,0.500018,0.500018,0.500014,0.500012,0.500015,0.500015,0.500013
11.000000,7683.646000,1.000000,2.000000,0.500037,0.500015,0.500016,0.500017,0.500024,0.500014,0.500018,0.500013,0.500016,0.500016
12.000000,7694.677000,1.000000,3.000000,0.500017,0.500020,0.500034,0.500019,0.500018,0.500017,0.500017,0.500019,0.500019,0.500018
13.000000,7707.100000,1.000000,1.000000,0.500016,0.500013,0.500015,0.500016,0.500014,0.500051,0.500016,0.500016,0.500036,0.500018
14.000000,7718.412000,1.000000,3.000000,0.500017,0.500016,0.500016,0.500016,0.500018,0.500036,0.500018,0.500046,0.500018,0.500018
15.000000,7733.021000,1.000000,2.000000,0.500019,0.500020,0.500042,0.500019,0.500017,0.500018,0.500018,0.500018,0.500019,0.500020
16.000000,7744.334000,1.000000,2.000000,0.500020,0.500020,0.500019,0.500016,0.500018,0.500015,0.500045,0.500037,0.500017,0.500019
17.000000,7756.540000,1.000000,1.000000,0.500017,0.500018,0.500017,0.500018,0.500046,0.500018,0.500019,0.500019,0.500020,0.500066
18.000000,7768.071000,1.000000,3.000000,0.500015,0.500019,0.500019,0.500019,0.500038,0.500018,0.500030,0.500019,0.500018,0.500020
