iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5,Presentation 6,Presentation 7,Presentation 8,Presentation 9,Presentation 10
1.000000,1963.756000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1974.976000,1.000000,3.000000,0.500010,0.500008,0.500009,0.500008,0.500007,0.500008,0.500008,0.500011,0.500010,0.500009
2.000000,1986.149000,1.000000,1.000000,0.500008,0.500008,0.500019,0.500009,0.500014,0.500007,0.500008,0.500007,0.500007,0.500008
3.000000,1997.103000,1.000000,2.000000,0.500008,0.500008,0.500008,0.500008,0.500010,0.500010,0.500009,0.500008,0.500010,0.500008
4.000000,2008.040000,1.000000,2.000000,0.500007,0.500008,0.500007,0.500007,0.500008,0.500010,0.500009,0.500009,0.500009,0.500008
5.000000,2019.821000,1.000000,1.000000,0.500009,0.500010,0.500008,0.500008,0.500006,0.500009,0.500007,0.500007,0.500018,0.500008
6.000000,2030.804000,1.000000,3.000000,0.500009,0.500008,0.500007,0.500008,0.500007,0.500007,0.500006,0.500009,0.500010,0.500010
7.000000,2041.914000,1.000000,2.000000,0.500008,0.500007,0.500007,0.500008,0.500009,0.500008,0.500009,0.500008,0.500008,0.500008
8.000000,2056.242000,1.000000,1.000000,0.500016,0.500008,0.500010,0.500008,0.500008,0.500007,0.500008,0.500008,0.500008,0.500008
9.000000,2067.302000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.000000,2078.694000,1.000000,3.000000,0.500008,0.500009,0.500008,0.500010,0.500009,0.500009,0.500008,0.500008,0.500008,0.500007
10.000000,2090.114000,1.000000,3.000000,0.500009,0.500006,0.500009,0.500008,0.500008,0.500033,0.500009,0.500008,0.500008,0.500008
11.000000,2101.832000,1.000000,2.000000,0.500018,0.500008,0.500008,0.500008,0.500006,0.500008,0.500008,0.500008,0.500011,0.500011
12.000000,2112.691000,1.000000,1.000000,0.500007,0.500012,0.500009,0.500008,0.500008,0.500009,0.500008,0.500008,0.500009,0.500008
13.000000,2124.566000,1.000000,2.000000,0.500027,0.500009,0.500007,0.500018,0.500008,0.500009,0.500008,0.500010,0.500009,0.500009
14.000000,2135.930000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,2146.835000,1.000000,3.000000,0.500009,0.500011,0.500007,0.500011,0.500007,0.500007,0.500007,0.500007,0.500007,0.500013
15.000000,2158.569000,1.000000,1.000000,0.500008,0.500008,0.500007,0.500008,0.500007,0.500008,0.500008,0.500008,0.500009,0.500008
16.000000,2169.520000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,2180.504000,1.000000,1.000000,0.500007,0.500007,0.500019,0.500040,0.500009,0.500011,0.500009,0.500011,0.500008,0.500009
17.000000,2191.988000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,2203.318000,1.000000,3.000000,0.500010,0.500009,0.500009,0.500007,0.500008,0.500008,0.500008,0.500010,0.500008,0.500006
18.000000,2214.958000,1.000000,2.000000,0.500008,0.500006,0.500010,0.500007,0.500008,0.500006,0.500008,0.500006,0.500013,0.500008
