iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5
1.000000,2047.340000,1.000000,2.000000,1.000209,1.000009,1.000011,1.000012,1.000011
2.000000,2058.168000,1.000000,1.000000,1.000013,1.000012,1.000009,1.000014,1.000013
3.000000,2069.013000,1.000000,3.000000,1.000027,1.000011,1.000026,1.000019,1.000017
4.000000,2079.912000,1.000000,3.000000,1.000013,1.000016,1.000013,1.000026,1.000013
5.000000,2090.726000,1.000000,1.000000,1.000026,1.000016,1.000044,1.000013,1.000018
6.000000,2102.177000,1.000000,2.000000,1.000013,1.000038,1.000014,1.000011,1.000012
7.000000,2113.468000,1.000000,1.000000,1.000010,1.000015,1.000013,1.000021,1.000012
8.000000,2124.686000,1.000000,2.000000,1.000017,1.000013,1.000013,1.000013,1.000011
9.000000,2135.545000,1.000000,3.000000,1.000014,1.000011,1.000040,1.000012,1.000013
10.000000,2147.555000,1.000000,1.000000,1.000015,1.000011,1.000013,1.000014,1.000018
11.000000,2159.758000,1.000000,3.000000,1.000014,1.000011,1.000014,1.000016,1.000014
12.000000,2170.945000,1.000000,2.000000,1.000012,1.000014,1.000016,1.000011,1.000014
13.000000,2181.721000,1.000000,3.000000,1.000014,1.000018,1.000015,1.000017,1.000012
14.000000,2194.217000,1.000000,1.000000,1.000013,1.000012,1.000013,1.000012,1.000012
15.000000,2204.969000,1.000000,2.000000,1.000014,1.000012,1.000012,1.000012,1.000011
16.000000,2217.760000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16.000000,2229.184000,1.000000,3.000000,1.000011,1.000011,1.000012,1.000024,1.000013
17.000000,2241.416000,1.000000,2.000000,1.000014,1.000015,1.000012,1.000017,1.000014
18.000000,2252.421000,1.000000,1.000000,1.000018,1.000033,1.000014,1.000011,1.000012
