iTrial,plexonGoTime,Success,eyeCond,Presentation 1,Presentation 2,Presentation 3,Presentation 4,Presentation 5
1.000000,2397.434000,1.000000,2.000000,1.000186,1.000007,1.000008,1.000010,1.000016
2.000000,2408.527000,1.000000,1.000000,1.000012,1.000014,1.000014,1.000016,1.000017
3.000000,2419.511000,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,2431.886000,1.000000,3.000000,1.000014,1.000017,1.000012,1.000014,1.000016
4.000000,2442.945000,1.000000,3.000000,1.000017,1.000011,1.000015,1.000018,1.000019
5.000000,2454.417000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2467.495000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2487.447000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2498.371000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2510.022000,1.000000,2.000000,1.000014,1.000021,1.000017,1.000018,1.000012
6.000000,2520.913000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,2531.847000,1.000000,1.000000,1.000012,1.000016,1.000012,1.000012,1.000014
7.000000,2544.862000,1.000000,2.000000,1.000018,1.000016,1.000013,1.000018,1.000009
8.000000,2555.831000,1.000000,3.000000,1.000016,1.000010,1.000009,1.000008,1.000015
9.000000,2566.537000,1.000000,1.000000,1.000010,1.000009,1.000012,1.000011,1.000014
10.000000,2578.037000,1.000000,1.000000,1.000013,1.000012,1.000013,1.000011,1.000016
11.000000,2589.162000,1.000000,3.000000,1.000020,1.000018,1.000018,1.000016,1.000017
12.000000,2601.537000,1.000000,2.000000,1.000018,1.000015,1.000015,1.000016,1.000011
13.000000,2612.381000,1.000000,1.000000,1.000020,1.000014,1.000040,1.000017,1.000015
14.000000,2624.225000,1.000000,2.000000,1.000010,1.000018,1.000016,1.000017,1.000016
15.000000,2635.074000,1.000000,3.000000,1.000017,1.000016,1.000013,1.000012,1.000014
16.000000,2645.790000,1.000000,1.000000,1.000018,1.000013,1.000014,1.000011,1.000011
17.000000,2656.553000,1.000000,2.000000,1.000014,1.000013,1.000015,1.000016,1.000013
18.000000,2668.543000,1.000000,3.000000,1.000012,1.000021,1.000016,1.000017,1.000043
