iTrial,plexonGoTime,Success,eyeCond,trialStartTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,368.862000,1.000000,1.000000,1759392.126816,1.000156,1.000015,1.000008,1.000009,1.000011,1759398.260616,1759399.335679,1759400.375383,1759401.410098,1759402.449455,1759399.335195,1759400.375020,1759401.409687,1759402.449062,1759403.483674
2.000000,380.659000,1.000000,3.000000,1759403.505227,1.000015,1.000014,1.000010,1.000037,1.000014,1759410.030398,1759411.069834,1759412.104806,1759413.144504,1759414.179606,1759411.069454,1759412.104408,1759413.144088,1759414.178847,1759415.256631
3.000000,392.003000,1.000000,2.000000,1759415.258822,1.000017,1.000013,1.000012,1.000009,1.000011,1759421.380383,1759422.453279,1759423.493228,1759424.528266,1759425.568229,1759422.452894,1759423.492884,1759424.527861,1759425.567834,1759426.602634
4.000000,403.035000,1.000000,1.000000,1759426.604755,1.000013,1.000011,1.000010,1.000015,1.000020,1759432.398873,1759433.440242,1759434.475475,1759435.515300,1759436.549994,1759433.439901,1759434.475124,1759435.514909,1759436.549587,1759437.589368
5.000000,414.129000,1.000000,2.000000,1759437.593362,1.000018,1.000016,1.000013,1.000011,1.000017,1759443.496740,1759444.531274,1759445.571541,1759446.606418,1759447.645932,1759444.530911,1759445.571167,1759446.606055,1759447.645538,1759448.680204
6.000000,425.113000,1.000000,3.000000,1759448.682345,1.000014,1.000011,1.000011,1.000014,1.000011,1759454.507876,1759455.547232,1759456.581892,1759457.621510,1759458.656248,1759455.546838,1759456.581510,1759457.621105,1759458.655852,1759459.695402
7.000000,436.367000,0.000000,1.000000,1759459.699394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,447.242000,1.000000,1.000000,1759470.909256,1.000013,1.000012,1.000011,1.000015,1.000010,1759476.614997,1759477.654894,1759478.689505,1759479.729394,1759480.764477,1759477.654496,1759478.689139,1759479.729014,1759480.764133,1759481.805883
8.000000,458.225000,1.000000,3.000000,1759481.808025,1.000010,1.000010,1.000014,1.000018,1.000018,1759487.638913,1759488.713077,1759489.752911,1759490.787869,1759491.827197,1759488.712670,1759489.752526,1759490.787504,1759491.826823,1759492.862224
9.000000,469.711000,1.000000,2.000000,1759492.864368,1.000015,1.000014,1.000012,1.000013,1.000010,1759499.081337,1759500.120925,1759501.155521,1759502.194971,1759503.229409,1759500.120507,1759501.155121,1759502.194592,1759503.229052,1759504.268456
