iTrial,plexonGoTime,Success,eyeCond,trialStartTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,21265.423000,1.000000,2.000000,79634.541934,1.000011,1.000009,1.000013,1.000012,1.000010,79640.199573,79641.234570,79642.274394,79643.309548,79644.349430,79641.234195,79642.274013,79643.309178,79644.349038,79645.383786
2.000000,21277.188000,1.000000,1.000000,79645.386001,1.000010,1.000010,1.000032,1.000011,1.000013,79651.974515,79653.014050,79654.048746,79655.088659,79656.123474,79653.013687,79654.048392,79655.088273,79656.123092,79657.162847
3.000000,21289.016000,1.000000,3.000000,79657.165053,1.000017,1.000009,1.000012,1.000014,1.000009,79663.782569,79664.817220,79665.857080,79666.891984,79667.934079,79664.816814,79665.856715,79666.891617,79667.933705,79668.968464
4.000000,21300.667000,1.000000,3.000000,79668.970682,1.000011,1.000010,1.000010,1.000013,1.000009,79675.437361,79676.476948,79677.512159,79678.551794,79679.587109,79676.476587,79677.511793,79678.551429,79679.586738,79680.626640
5.000000,21311.635000,1.000000,1.000000,79680.628857,1.000011,1.000008,1.000012,1.000011,1.000011,79686.404173,79687.438677,79688.478820,79689.513930,79690.553571,79687.438317,79688.478401,79689.513562,79690.553203,79691.588122
6.000000,21323.119000,1.000000,2.000000,79691.590340,1.000011,1.000012,1.000016,1.000037,1.000011,79697.885187,79698.924738,79699.959752,79700.999691,79702.034802,79698.924377,79699.959386,79700.999300,79702.034419,79703.074267
7.000000,21333.926000,1.000000,2.000000,79703.076425,1.000010,1.000011,1.000011,1.000011,1.000008,79708.688919,79709.723791,79710.763554,79711.798380,79712.838045,79709.723428,79710.763168,79711.797944,79712.837656,79713.872573
8.000000,21344.785000,0.000000,3.000000,79713.874771,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,21357.284000,0.000000,3.000000,79724.730542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,21368.107000,1.000000,3.000000,79737.217312,1.000009,1.000013,1.000009,1.000010,1.000013,79742.859489,79743.900876,79744.935812,79745.975361,79747.010244,79743.900513,79744.935423,79745.974989,79747.009879,79748.049731
9.000000,21378.841000,1.000000,1.000000,79748.051935,1.000012,1.000018,1.000011,1.000008,1.000010,79753.584155,79754.618655,79755.658171,79756.692997,79757.732764,79754.618284,79755.657846,79756.692633,79757.732378,79758.767085
10.000000,21389.809000,1.000000,3.000000,79758.769276,1.000018,1.000014,1.000012,1.000010,1.000009,79764.564556,79765.604351,79766.639175,79767.679005,79768.713847,79765.603972,79766.638788,79767.678632,79768.713483,79769.753238
11.000000,21401.084000,0.000000,2.000000,79769.755417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,21412.475000,0.000000,2.000000,79780.998054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,21423.225000,1.000000,2.000000,79792.402194,1.000011,1.000010,1.000018,1.000011,1.000011,79797.949704,79798.984225,79800.024086,79801.059119,79802.100583,79798.983851,79800.023718,79801.058736,79802.100153,79803.135256
12.000000,21434.625000,0.000000,1.000000,79803.137446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.000000,21445.984000,1.000000,1.000000,79814.543822,1.000017,1.000011,1.000009,1.000011,1.000010,79820.713316,79821.748156,79822.787797,79823.822410,79824.862150,79821.747766,79822.787394,79823.822037,79824.861760,79825.896584
13.000000,21456.781000,1.000000,2.000000,79825.898799,1.000011,1.000011,1.000014,1.000012,1.000009,79831.501880,79832.542843,79833.577832,79834.617700,79835.652695,79832.542473,79833.577456,79834.617294,79835.652280,79836.691971
14.000000,21467.540000,1.000000,1.000000,79836.694171,1.000010,1.000016,1.000010,1.000010,1.000009,79842.255171,79843.289661,79844.329462,79845.364184,79846.403875,79843.289252,79844.329077,79845.363818,79846.403492,79847.438358
15.000000,21479.243000,1.000000,3.000000,79847.440534,1.000018,1.000012,1.000008,1.000010,1.000009,79853.978315,79855.019007,79856.054090,79857.093613,79858.128118,79855.018562,79856.053716,79857.093242,79858.127753,79859.167213
16.000000,21491.118000,1.000000,2.000000,79859.169349,1.000012,1.000014,1.000008,1.000012,1.000013,79865.847013,79866.881923,79867.921940,79868.956729,79869.996296,79866.881528,79867.921550,79868.956350,79869.995923,79871.030814
17.000000,21502.222000,0.000000,1.000000,79871.033057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,21513.127000,1.000000,1.000000,79882.111143,1.000011,1.000008,1.000009,1.000014,1.000007,79887.815614,79888.850330,79889.889928,79890.924970,79891.964621,79888.849959,79889.889543,79890.924588,79891.964234,79892.998899
18.000000,21524.236000,1.000000,3.000000,79893.001122,1.000011,1.000010,1.000013,1.000009,1.000018,79898.945184,79899.984920,79901.019678,79902.059206,79903.093854,79899.984533,79901.019314,79902.058830,79903.093495,79904.134846
