iTrial,plexonGoTime,Success,eyeCond,trialStartTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,21740.808000,1.000000,1.000000,80093.441740,1.000011,1.000011,1.000009,1.000015,1.000009,80115.462659,80116.497389,80117.536935,80118.571687,80119.611175,80116.496994,80117.536561,80118.571303,80119.610796,80120.645549
2.000000,21754.042000,1.000000,2.000000,80120.647766,1.000010,1.000006,1.000011,1.000008,1.000010,80128.697772,80129.736903,80130.771492,80131.813171,80132.847678,80129.736540,80130.771140,80131.812742,80132.847290,80133.886718
3.000000,21765.770000,1.000000,3.000000,80133.888859,1.000008,1.000010,1.000020,1.000018,1.000014,80140.417949,80141.452109,80142.492178,80143.527065,80144.568731,80141.451739,80142.491806,80143.526668,80144.568337,80145.603020
4.000000,21776.536000,1.000000,3.000000,80145.605216,1.000011,1.000010,1.000009,1.000015,1.000008,80151.190647,80152.229713,80153.264422,80154.303660,80155.338349,80152.229330,80153.264044,80154.303275,80155.337972,80156.379143
5.000000,21787.207000,1.000000,1.000000,80156.381300,1.000007,1.000006,1.000010,1.000012,1.000011,80161.838173,80162.872504,80163.912166,80164.946696,80165.986307,80162.872115,80163.911805,80164.946288,80165.985936,80167.020752
6.000000,21798.139000,1.000000,2.000000,80167.022972,1.000012,1.000011,1.000014,1.000011,1.000015,80172.754850,80173.793974,80174.828761,80175.868356,80176.903109,80173.793594,80174.828383,80175.867980,80176.902726,80177.944299
7.000000,21809.185000,1.000000,3.000000,80177.946540,1.000020,1.000019,1.000014,1.000007,1.000011,80183.812291,80184.846888,80185.887763,80186.922390,80187.961900,80184.846475,80185.887352,80186.921974,80187.961501,80188.996141
8.000000,21820.076000,1.000000,2.000000,80188.998339,1.000021,1.000009,1.000010,1.000011,1.000008,80194.714583,80195.754064,80196.788599,80197.827982,80198.862805,80195.753689,80196.788230,80197.827597,80198.862406,80199.904339
9.000000,21831.632000,1.000000,1.000000,80199.906506,1.000019,1.000013,1.000007,1.000009,1.000009,80206.253106,80207.287771,80208.327170,80209.361609,80210.401138,80207.287349,80208.326748,80209.361248,80210.400757,80211.435525
10.000000,21842.509000,0.000000,3.000000,80211.437736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,21853.444000,1.000000,3.000000,80222.329752,1.000013,1.000010,1.000009,1.000018,1.000009,80228.072919,80229.107422,80230.147019,80231.181598,80232.221148,80229.107038,80230.146614,80231.181231,80232.220755,80233.255368
11.000000,21864.411000,1.000000,2.000000,80233.257534,1.000012,1.000008,1.000010,1.000013,1.000008,80239.018399,80240.057585,80241.092417,80242.131935,80243.166587,80240.057207,80241.092031,80242.131520,80243.166160,80244.207550
12.000000,21875.206000,1.000000,1.000000,80244.209717,1.000010,1.000010,1.000008,1.000009,1.000011,80249.805548,80250.839710,80251.879106,80252.913926,80253.953440,80250.839317,80251.878771,80252.913490,80253.953072,80254.987841
13.000000,21885.940000,1.000000,2.000000,80254.990040,1.000010,1.000011,1.000018,1.000016,1.000011,80260.529667,80261.568792,80262.603628,80263.643238,80264.677905,80261.568379,80262.603248,80263.642860,80264.677483,80265.719328
14.000000,21896.622000,0.000000,1.000000,80265.721496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14.000000,21907.575000,1.000000,1.000000,80276.393833,1.000024,1.000009,1.000013,1.000006,1.000008,80282.158149,80283.197319,80284.232045,80285.271671,80286.306443,80283.196916,80284.231677,80285.271285,80286.306074,80287.347398
15.000000,21918.871000,1.000000,3.000000,80287.349558,1.000011,1.000014,1.000027,1.000007,1.000009,80293.471472,80294.505916,80295.545500,80296.580312,80297.619699,80294.505524,80295.545115,80296.579935,80297.619338,80298.654008
16.000000,21930.694000,1.000000,3.000000,80298.656211,1.000011,1.000010,1.000006,1.000010,1.000011,80305.284626,80306.323734,80307.358590,80308.398117,80309.432646,80306.323357,80307.358191,80308.397741,80309.432222,80310.471937
17.000000,21941.334000,1.000000,1.000000,80310.474212,1.000006,1.000011,1.000006,1.000012,1.000011,80315.917676,80316.951795,80317.991147,80319.025811,80320.065520,80316.951425,80317.990757,80319.025450,80320.065130,80321.099833
18.000000,21952.381000,1.000000,2.000000,80321.102021,1.000010,1.000009,1.000014,1.000009,1.000010,80326.960504,80327.999708,80329.034336,80330.073838,80331.108461,80327.999342,80329.033963,80330.073425,80331.108093,80332.147749
