iTrial,plexonGoTime,Success,eyeCond,trialLocalGoTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,1020.997000,1.000000,1.000000,73079.809868,1.000155,1.000039,1.000018,1.000013,1.000010,73080.254418,73081.312831,73082.352897,73083.396927,73084.436494,73081.312346,73082.352141,73083.396568,73084.436135,73085.470907
2.000000,1032.731000,1.000000,3.000000,73091.518128,1.000013,1.000012,1.000011,1.000016,1.000010,73091.938606,73092.978104,73094.013203,73095.052956,73096.087900,73092.977718,73094.012853,73095.052609,73096.087561,73097.127435
3.000000,1043.827000,1.000000,2.000000,73102.631516,1.000010,1.000013,1.000013,1.000036,1.000014,73103.050146,73104.084455,73105.124337,73106.159271,73107.199458,73104.084093,73105.123974,73106.158929,73107.198716,73108.271960
4.000000,1055.780000,1.000000,3.000000,73114.573934,1.000016,1.000012,1.000020,1.000014,1.000012,73114.996421,73116.036404,73117.071738,73118.112490,73119.147792,73116.036056,73117.071391,73118.112133,73119.147451,73120.187940
5.000000,1066.470000,1.000000,2.000000,73125.264321,1.000009,1.000013,1.000013,1.000014,1.000011,73125.691843,73126.726741,73127.767390,73128.803202,73129.843687,73126.726409,73127.766996,73128.802867,73129.843326,73130.879058
6.000000,1077.748000,1.000000,1.000000,73136.540113,1.000017,1.000017,1.000016,1.000012,1.000010,73136.957616,73137.997707,73139.033285,73140.074154,73141.114329,73137.997347,73139.032956,73140.073806,73141.113950,73142.154534
7.000000,1088.424000,1.000000,1.000000,73147.207074,1.000011,1.000014,1.000009,1.000037,1.000013,73147.626500,73148.661810,73149.720926,73150.757164,73151.837056,73148.661461,73149.720585,73150.756450,73151.836376,73152.894613
8.000000,1099.268000,1.000000,3.000000,73158.057471,1.000015,1.000011,1.000010,1.000011,1.000014,73158.483238,73159.523529,73160.559335,73161.599619,73162.635206,73159.523166,73160.558929,73161.599286,73162.634869,73163.677093
9.000000,1110.252000,1.000000,2.000000,73169.048806,1.000010,1.000012,1.000014,1.000011,1.000011,73169.453420,73170.488491,73171.528885,73172.564529,73173.605008,73170.488068,73171.528540,73172.564137,73173.604599,73174.640162
10.000000,1121.631000,1.000000,1.000000,73180.405243,1.000013,1.000016,1.000010,1.000010,1.000014,73180.825000,73181.864787,73182.900472,73183.940730,73184.976218,73181.864414,73182.900095,73183.940346,73184.975826,73186.018187
11.000000,1132.365000,1.000000,3.000000,73191.160639,1.000011,1.000011,1.000009,1.000010,1.000040,73191.583216,73192.617858,73193.658264,73194.693454,73195.733817,73192.617457,73193.657870,73194.693114,73195.733420,73196.769102
12.000000,1143.367000,1.000000,2.000000,73202.153995,1.000021,1.000039,1.000011,1.000010,1.000011,73202.568834,73203.610895,73204.647651,73205.723160,73206.758894,73203.610547,73204.646915,73205.722768,73206.758492,73207.798831
13.000000,1154.252000,1.000000,1.000000,73213.041374,1.000010,1.000011,1.000011,1.000013,1.000011,73213.455139,73214.490492,73215.530979,73216.566548,73217.606971,73214.490123,73215.530644,73216.566184,73217.606586,73218.642298
14.000000,1170.034000,1.000000,2.000000,73228.833932,1.000009,1.000011,1.000037,1.000016,1.000014,73229.258736,73230.299002,73231.334949,73232.376178,73233.451241,73230.298669,73231.334607,73232.375439,73233.450881,73234.491383
15.000000,1181.329000,1.000000,3.000000,73240.128331,1.000013,1.000009,1.000015,1.000010,1.000010,73240.550711,73241.585997,73242.626034,73243.661511,73244.701626,73241.585637,73242.625705,73243.661120,73244.701279,73245.736695
16.000000,1192.063000,1.000000,1.000000,73250.859699,1.000030,1.000011,1.000011,1.000016,1.000031,73251.280497,73252.320176,73253.356541,73254.397353,73255.432889,73252.319807,73253.356173,73254.397012,73255.432528,73256.474829
17.000000,1203.313000,1.000000,3.000000,73262.099094,1.000013,1.000012,1.000017,1.000010,1.000014,73262.518299,73263.553748,73264.593873,73265.629623,73266.669779,73263.553392,73264.593541,73265.629284,73266.669415,73267.704988
18.000000,1214.169000,1.000000,2.000000,73272.960469,1.000011,1.000010,1.000013,1.000011,1.000012,73273.375025,73274.416582,73275.452121,73276.492398,73277.527711,73274.416232,73275.451778,73276.492042,73277.527367,73278.567552
