iTrial,plexonGoTime,Success,eyeCond,trialLocalGoTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,2281.186000,0.000000,3.000000,74339.948883,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,2320.788000,1.000000,3.000000,74379.545136,1.000025,1.000012,1.000017,1.000010,1.000010,74379.955279,74380.995902,74382.069971,74383.110164,74384.145032,74380.995193,74382.069616,74383.109780,74384.144630,74385.184260
2.000000,2332.500000,1.000000,2.000000,74391.248537,1.000017,1.000018,1.000011,1.000013,1.000037,74391.670385,74392.743105,74393.783008,74394.817892,74395.857801,74392.742703,74393.782599,74394.817529,74395.857387,74396.892281
3.000000,2343.219000,1.000000,1.000000,74401.966930,1.000014,1.000012,1.000009,1.000013,1.000013,74402.383737,74403.461715,74404.496791,74405.536372,74406.570980,74403.461351,74404.496416,74405.536001,74406.570612,74407.610523
4.000000,2355.108000,1.000000,1.000000,74413.847347,1.000009,1.000012,1.000037,1.000023,1.000013,74414.281903,74415.316615,74416.356436,74417.391882,74418.471941,74415.316224,74416.356042,74417.391121,74418.471563,74419.506211
5.000000,2383.546000,0.000000,2.000000,74442.283298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,2395.402000,1.000000,2.000000,74454.140731,1.000014,1.000010,1.000010,1.000040,1.000013,74454.548318,74455.582760,74456.622194,74457.657017,74458.697415,74455.582391,74456.621767,74457.656627,74458.696616,74459.759713
6.000000,2407.310000,1.000000,3.000000,74466.044157,1.000017,1.000011,1.000010,1.000035,1.000010,74466.450734,74467.490028,74468.525018,74469.564968,74470.600557,74467.489645,74468.524624,74469.564624,74470.599823,74471.677724
7.000000,2418.652000,1.000000,2.000000,74477.398563,1.000011,1.000011,1.000014,1.000023,1.000010,74477.823612,74478.875938,74479.915668,74480.950431,74481.990157,74478.875506,74479.915265,74480.950035,74481.989775,74483.024647
8.000000,2429.468000,1.000000,3.000000,74488.211949,1.000016,1.000015,1.000011,1.000011,1.000008,74488.648064,74489.727401,74490.762416,74491.801897,74492.836585,74489.727008,74490.762040,74491.801543,74492.836197,74493.875985
9.000000,2440.200000,1.000000,1.000000,74498.949318,1.000016,1.000010,1.000030,1.000017,1.000009,74499.375276,74500.409605,74501.449362,74502.484586,74503.560367,74500.409201,74501.448998,74502.483784,74503.560007,74504.594901
10.000000,2452.278000,1.000000,2.000000,74511.039742,1.000012,1.000022,1.000010,1.000014,1.000020,74511.481319,74512.520951,74513.556493,74514.634711,74515.671986,74512.520545,74513.555683,74514.634303,74515.671581,74516.712104
11.000000,2463.918000,1.000000,3.000000,74522.678128,1.000013,1.000009,1.000014,1.000027,1.000020,74523.090547,74524.125749,74525.180064,74526.214922,74527.254742,74524.124946,74525.179662,74526.214509,74527.254367,74528.289455
12.000000,2474.608000,1.000000,1.000000,74533.342508,1.000009,1.000011,1.000010,1.000011,1.000016,74533.789250,74534.867067,74535.901812,74536.941782,74538.002558,74534.866692,74535.901421,74536.941350,74538.002180,74539.041884
13.000000,2485.701000,1.000000,2.000000,74544.454908,1.000017,1.000011,1.000016,1.000027,1.000016,74544.878301,74545.912755,74546.952953,74547.987649,74549.027532,74545.912374,74546.952549,74547.987254,74549.027145,74550.062063
14.000000,2496.685000,1.000000,3.000000,74555.435285,1.000013,1.000010,1.000023,1.000014,1.000010,74555.884981,74556.924479,74557.959194,74559.035128,74560.108229,74556.924108,74557.958849,74559.034387,74560.107858,74561.147460
15.000000,2507.512000,1.000000,1.000000,74566.258656,1.000011,1.000014,1.000011,1.000015,1.000010,74566.659496,74567.693858,74568.734170,74569.778116,74570.817999,74567.693445,74568.733305,74569.777769,74570.817615,74571.852338
16.000000,2519.387000,1.000000,2.000000,74578.128100,1.000010,1.000015,1.000012,1.000012,1.000018,74578.579667,74579.618976,74580.653775,74581.693532,74582.728411,74579.618595,74580.653363,74581.693159,74582.727970,74583.767556
17.000000,2530.215000,1.000000,3.000000,74588.960802,1.000016,1.000008,1.000010,1.000013,1.000013,74589.422961,74590.496132,74591.535882,74592.570571,74593.610263,74590.495733,74591.535491,74592.570162,74593.609880,74594.644716
18.000000,2541.105000,1.000000,1.000000,74599.843825,1.000025,1.000030,1.000011,1.000014,1.000011,74600.277681,74601.317347,74602.352132,74603.391869,74604.426812,74601.316944,74602.351774,74603.391493,74604.426408,74605.465963
