iTrial,plexonGoTime,Success,eyeCond,trialLocalGoTime,Stim 1 dur,Stim 2 dur,Stim 3 dur,Stim 4 dur,Stim 5 dur,Stim 1 start,Stim 2 start,Stim 3 start,Stim 4 start,Stim 5 start,Stim 1 end,Stim 2 end,Stim 3 end,Stim 4 end,Stim 5 end
1.000000,3048.047000,1.000000,3.000000,75106.778598,1.000018,1.000035,1.000010,1.000014,1.000013,75107.214525,75108.248830,75109.289457,75110.335099,75111.375064,75108.248417,75109.288701,75110.334690,75111.374671,75112.409802
2.000000,3059.171000,1.000000,2.000000,75117.892981,1.000015,1.000013,1.000013,1.000012,1.000013,75118.343549,75119.383603,75120.418795,75121.458688,75122.493485,75119.383183,75120.418397,75121.458294,75122.493114,75123.534802
3.000000,3070.515000,1.000000,1.000000,75129.236336,1.000014,1.000008,1.000011,1.000011,1.000039,75129.673821,75130.709351,75131.749392,75132.822761,75133.862747,75130.708949,75131.748588,75132.822344,75133.862356,75134.897297
4.000000,3081.265000,1.000000,3.000000,75139.989744,1.000042,1.000013,1.000010,1.000010,1.000044,75140.439870,75141.479893,75142.553469,75143.593287,75144.628230,75141.479158,75142.553095,75143.592913,75144.627873,75145.667826
5.000000,3092.797000,1.000000,2.000000,75151.514125,1.000009,1.000014,1.000010,1.000014,1.000028,75151.932050,75152.966714,75154.006703,75155.041758,75156.081661,75152.966323,75154.006325,75155.041387,75156.081280,75157.116369
6.000000,3104.780000,1.000000,1.000000,75163.512693,1.000010,1.000019,1.000011,1.000018,1.000015,75163.933041,75164.972350,75166.007573,75167.047369,75168.082195,75164.971960,75166.007158,75167.046973,75168.081793,75169.121535
7.000000,3115.631000,1.000000,3.000000,75174.354883,1.000011,1.000010,1.000009,1.000012,1.000009,75174.794109,75175.828567,75176.868367,75177.903485,75178.943497,75175.828177,75176.867978,75177.903101,75178.943117,75179.977889
8.000000,3127.689000,1.000000,2.000000,75186.410328,1.000009,1.000010,1.000014,1.000022,1.000008,75186.856901,75187.896329,75188.931285,75189.971222,75191.005912,75187.895920,75188.930899,75189.970847,75191.005540,75192.045140
9.000000,3138.754000,1.000000,1.000000,75197.473717,1.000013,1.000010,1.000011,1.000014,1.000014,75197.905892,75198.940250,75199.980431,75201.015354,75202.054607,75198.939859,75199.980056,75201.014950,75202.054237,75203.088794
10.000000,3149.728000,1.000000,3.000000,75208.437088,1.000014,1.000014,1.000008,1.000012,1.000012,75208.889816,75209.967736,75211.002741,75212.042518,75213.077165,75209.967349,75211.002354,75212.042106,75213.076783,75214.116577
11.000000,3160.634000,1.000000,1.000000,75219.341444,1.000018,1.000009,1.000008,1.000010,1.000010,75219.789086,75220.823751,75221.863427,75222.898558,75223.939053,75220.823370,75221.863040,75222.898169,75223.938670,75224.973839
12.000000,3171.930000,1.000000,2.000000,75230.634867,1.000011,1.000009,1.000012,1.000011,1.000011,75231.098043,75232.175944,75233.211110,75234.251537,75235.286374,75232.175595,75233.210704,75234.251176,75235.285972,75236.327775
13.000000,3183.287000,1.000000,1.000000,75242.009264,1.000014,1.000011,1.000007,1.000012,1.000022,75242.464412,75243.525839,75244.565772,75245.600585,75246.640838,75243.525499,75244.565382,75245.600224,75246.640442,75247.675534
14.000000,3194.615000,1.000000,2.000000,75253.336667,1.000009,1.000009,1.000009,1.000010,1.000013,75253.761160,75254.801274,75255.874729,75256.926731,75257.961634,75254.800533,75255.874352,75256.926305,75257.961222,75259.001146
15.000000,3205.319000,1.000000,3.000000,75264.034046,1.000012,1.000010,1.000020,1.000014,1.000014,75264.476665,75265.511312,75266.551731,75267.625594,75268.665644,75265.510942,75266.550969,75267.625205,75268.665246,75269.700463
16.000000,3216.752000,1.000000,1.000000,75275.475444,1.000010,1.000010,1.000012,1.000014,1.000014,75275.919082,75276.958577,75277.993654,75279.034116,75280.069230,75276.958179,75277.993265,75279.033747,75280.068805,75281.111062
17.000000,3227.455000,1.000000,3.000000,75286.173818,1.000011,1.000041,1.000012,1.000009,1.000010,75286.605416,75287.639995,75288.680329,75289.727762,75290.767393,75287.639599,75288.679510,75289.727394,75290.767004,75291.801621
18.000000,3238.204000,1.000000,2.000000,75296.924186,1.000011,1.000011,1.000011,1.000015,1.000011,75297.357970,75298.397137,75299.431872,75300.471751,75301.506782,75298.396718,75299.431480,75300.471368,75301.506398,75302.546253
