iTrial,plexonGoTime,Success,trialType,trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,1413.338000,0.000000,5.000000,172775.750856,0.000000,0.000000,0.000000
1.000000,1423.515000,1.000000,5.000000,172785.905108,5.020685,172786.367499,172791.388230
2.000000,1433.093000,1.000000,2.000000,172795.482442,5.019497,172795.986509,172801.006071
3.000000,1442.890000,1.000000,9.000000,172805.277774,5.025946,172805.739628,172810.765600
4.000000,1455.891000,0.000000,4.000000,172818.274247,0.000000,0.000000,0.000000
4.000000,1465.532000,1.000000,4.000000,172827.919621,5.020175,172828.398244,172833.418446
5.000000,1475.687000,0.000000,7.000000,172838.069933,0.000000,0.000000,0.000000
5.000000,1486.599000,0.000000,7.000000,172848.980321,0.000000,0.000000,0.000000
5.000000,1496.128000,0.000000,7.000000,172858.504645,0.000000,0.000000,0.000000
5.000000,1507.737000,0.000000,7.000000,172870.126061,0.000000,0.000000,0.000000
5.000000,1521.499000,0.000000,7.000000,172883.892534,0.000000,0.000000,0.000000
5.000000,1535.468000,0.000000,7.000000,172897.861008,0.000000,0.000000,0.000000
5.000000,1545.982000,0.000000,7.000000,172908.359402,0.000000,0.000000,0.000000
5.000000,1556.030000,1.000000,7.000000,172918.406755,5.022056,172918.924241,172923.946322
6.000000,1566.110000,1.000000,8.000000,172928.499110,5.020619,172928.976972,172933.997616
7.000000,1577.873000,0.000000,3.000000,172940.248507,0.000000,0.000000,0.000000
7.000000,1588.952000,1.000000,3.000000,172951.336901,5.023244,172951.777132,172956.800401
8.000000,1599.093000,0.000000,6.000000,172961.477240,0.000000,0.000000,0.000000
8.000000,1608.985000,1.000000,6.000000,172971.367590,5.027278,172971.825599,172976.852908
9.000000,1618.833000,0.000000,1.000000,172981.218939,0.000000,0.000000,0.000000
9.000000,1628.938000,0.000000,1.000000,172991.323303,0.000000,0.000000,0.000000
9.000000,1638.641000,1.000000,1.000000,173001.023616,5.019898,173001.486656,173006.506579
10.000000,1648.234000,1.000000,8.000000,173010.619976,5.024491,173011.074934,173016.099452
11.000000,1658.096000,1.000000,5.000000,173020.482319,5.026812,173020.948863,173025.975707
12.000000,1667.999000,1.000000,6.000000,173030.388654,5.025930,173030.842631,173035.868585
13.000000,1678.077000,1.000000,4.000000,173040.464011,5.020495,173040.915989,173045.936509
14.000000,1687.842000,0.000000,2.000000,173050.229330,0.000000,0.000000,0.000000
14.000000,1697.762000,0.000000,2.000000,173060.149720,0.000000,0.000000,0.000000
14.000000,1708.027000,1.000000,2.000000,173070.415075,5.024441,173070.882419,173075.906896
15.000000,1718.080000,1.000000,1.000000,173080.464403,5.026288,173080.931831,173085.958145
16.000000,1727.704000,0.000000,3.000000,173090.080743,0.000000,0.000000,0.000000
16.000000,1739.110000,0.000000,3.000000,173101.489161,0.000000,0.000000,0.000000
16.000000,1748.913000,1.000000,3.000000,173111.285495,5.023308,173111.746975,173116.770309
17.000000,1758.772000,0.000000,7.000000,173121.145851,0.000000,0.000000,0.000000
17.000000,1768.334000,0.000000,7.000000,173130.711174,0.000000,0.000000,0.000000
17.000000,1778.334000,1.000000,7.000000,173140.701532,5.020417,173141.195206,173146.215647
18.000000,1788.409000,1.000000,9.000000,173150.780873,5.020452,173151.254724,173156.275200
