iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,-1.000000,1.000000,1.000000,1.000000,60.000000,183715.946980,5.025489,183716.420773,183721.446535
2.000000,-1.000000,1.000000,7.000000,1.000000,3.750000,183725.454635,5.020394,183725.968563,183730.988982
3.000000,-1.000000,1.000000,9.000000,3.000000,3.750000,183734.990777,5.023283,183735.516799,183740.540139
4.000000,-1.000000,1.000000,4.000000,1.000000,15.000000,183744.541626,5.022253,183745.010717,183750.032996
5.000000,-1.000000,1.000000,2.000000,2.000000,60.000000,183754.034667,5.024529,183754.509627,183759.534181
6.000000,-1.000000,1.000000,3.000000,3.000000,60.000000,183763.535703,5.027177,183763.983146,183769.010349
7.000000,-1.000000,1.000000,5.000000,2.000000,15.000000,183773.011932,5.023940,183773.479263,183778.503228
8.000000,-1.000000,1.000000,6.000000,3.000000,15.000000,183782.504854,5.020605,183783.017026,183788.037700
9.000000,-1.000000,1.000000,8.000000,2.000000,3.750000,183792.039318,5.020060,183792.543818,183797.563903
10.000000,-1.000000,1.000000,4.000000,1.000000,15.000000,183801.565458,5.021260,183802.027153,183807.048437
11.000000,-1.000000,1.000000,1.000000,1.000000,60.000000,183811.050057,5.023515,183811.492702,183816.516244
12.000000,-1.000000,1.000000,8.000000,2.000000,3.750000,183820.517880,5.020860,183820.988211,183826.009095
13.000000,-1.000000,1.000000,9.000000,3.000000,3.750000,183830.010702,5.022710,183830.479193,183835.501929
14.000000,-1.000000,1.000000,7.000000,1.000000,3.750000,183839.503398,5.022787,183839.980328,183845.003140
15.000000,-1.000000,1.000000,2.000000,2.000000,60.000000,183849.004755,5.024498,183849.454794,183854.479317
16.000000,-1.000000,1.000000,3.000000,3.000000,60.000000,183858.480817,5.027266,183858.978195,183864.005487
17.000000,-1.000000,1.000000,5.000000,2.000000,15.000000,183868.007036,5.020356,183868.461317,183873.481698
18.000000,-1.000000,1.000000,6.000000,3.000000,15.000000,183877.483280,5.023791,183878.034017,183883.057862
