iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,3958.766000,1.000000,2.000000,2.000000,60.000000,4295.020419,5.025485,4295.489018,4300.489562
2.000000,3969.875000,1.000000,1.000000,1.000000,60.000000,4306.129507,5.026841,4306.590068,4311.598913
3.000000,3979.965000,1.000000,3.000000,3.000000,60.000000,4316.216579,5.021350,4316.691062,4321.683248
4.000000,3989.688000,1.000000,6.000000,3.000000,15.000000,4325.938606,5.025179,4326.417006,4331.417484
5.000000,3999.860000,1.000000,5.000000,2.000000,15.000000,4336.105693,5.026971,4336.576289,4341.576808
6.000000,4016.437000,1.000000,4.000000,1.000000,15.000000,4352.691778,5.025817,4353.169547,4358.170060
7.000000,4026.424000,1.000000,6.000000,3.000000,15.000000,4362.671834,5.025059,4363.145501,4368.146024
8.000000,4036.468000,0.000000,5.000000,2.000000,15.000000,4372.718126,0.000000,0.000000,0.000000
8.000000,4047.097000,1.000000,5.000000,2.000000,15.000000,4383.340965,5.022498,4383.814148,4388.806303
9.000000,4061.676000,1.000000,1.000000,1.000000,60.000000,4397.917013,5.026165,4398.390526,4403.391048
10.000000,4073.252000,1.000000,3.000000,3.000000,60.000000,4409.503099,5.024493,4409.966643,4414.967168
11.000000,4082.798000,1.000000,4.000000,1.000000,15.000000,4419.032141,5.022554,4419.509225,4424.509747
12.000000,4092.706000,1.000000,2.000000,2.000000,60.000000,4428.940192,5.022232,4429.401842,4434.393996
13.000000,4103.878000,1.000000,4.000000,1.000000,15.000000,4440.122312,5.022799,4440.586249,4445.586742
14.000000,4114.643000,1.000000,6.000000,3.000000,15.000000,4450.891308,5.020729,4451.362271,4456.354460
15.000000,4129.868000,1.000000,3.000000,3.000000,60.000000,4466.095413,5.021127,4466.563719,4471.564263
16.000000,4139.630000,0.000000,2.000000,2.000000,60.000000,4475.875435,0.000000,0.000000,0.000000
16.000000,4149.129000,1.000000,2.000000,2.000000,60.000000,4485.367480,5.021904,4485.840532,4490.841069
17.000000,4159.994000,0.000000,5.000000,2.000000,15.000000,4496.225814,0.000000,0.000000,0.000000
17.000000,4172.727000,1.000000,5.000000,2.000000,15.000000,4508.967663,5.021317,4509.442807,4514.443318
18.000000,4190.226000,0.000000,1.000000,1.000000,60.000000,4526.473723,0.000000,0.000000,0.000000
18.000000,4200.569000,1.000000,1.000000,1.000000,60.000000,4536.807804,5.024526,4537.270447,4542.270972
