iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,6506.451000,0.000000,3.000000,3.000000,60.000000,70232.525865,0.000000,0.000000,0.000000
1.000000,6520.638000,0.000000,3.000000,3.000000,60.000000,70246.716877,0.000000,0.000000,0.000000
1.000000,6532.591000,0.000000,3.000000,3.000000,60.000000,70258.667994,0.000000,0.000000,0.000000
1.000000,6542.350000,0.000000,3.000000,3.000000,60.000000,70268.414037,0.000000,0.000000,0.000000
1.000000,6552.725000,0.000000,3.000000,3.000000,60.000000,70278.795066,0.000000,0.000000,0.000000
1.000000,6562.784000,0.000000,3.000000,3.000000,60.000000,70288.854104,0.000000,0.000000,0.000000
1.000000,6579.923000,0.000000,3.000000,3.000000,60.000000,70305.978275,0.000000,0.000000,0.000000
1.000000,6589.843000,0.000000,3.000000,3.000000,60.000000,70315.902281,0.000000,0.000000,0.000000
1.000000,6609.530000,0.000000,3.000000,3.000000,60.000000,70335.593400,0.000000,0.000000,0.000000
1.000000,6619.092000,0.000000,3.000000,3.000000,60.000000,70345.147424,0.000000,0.000000,0.000000
1.000000,6629.264000,0.000000,3.000000,3.000000,60.000000,70355.323520,0.000000,0.000000,0.000000
1.000000,6638.861000,0.000000,3.000000,3.000000,60.000000,70364.914562,0.000000,0.000000,0.000000
1.000000,6656.813000,1.000000,3.000000,3.000000,60.000000,70382.858686,5.020580,70383.332482,70388.324613
2.000000,6667.154000,0.000000,6.000000,3.000000,15.000000,70393.209721,0.000000,0.000000,0.000000
2.000000,6680.607000,1.000000,6.000000,3.000000,15.000000,70406.663855,5.023920,70407.134744,70412.135272
3.000000,6690.528000,1.000000,5.000000,2.000000,15.000000,70416.583834,5.020553,70417.052356,70422.052858
4.000000,6711.852000,0.000000,4.000000,1.000000,15.000000,70437.902023,0.000000,0.000000,0.000000
4.000000,6741.695000,0.000000,4.000000,1.000000,15.000000,70467.745192,0.000000,0.000000,0.000000
4.000000,6761.979000,1.000000,4.000000,1.000000,15.000000,70488.026289,5.022242,70488.500814,70493.493022
5.000000,6777.495000,1.000000,2.000000,2.000000,60.000000,70503.530596,5.021475,70503.993990,70508.994487
6.000000,6797.748000,0.000000,1.000000,1.000000,60.000000,70523.799480,0.000000,0.000000,0.000000
6.000000,6819.872000,1.000000,1.000000,1.000000,60.000000,70545.916593,5.021914,70546.381367,70551.381873
7.000000,6829.938000,1.000000,6.000000,3.000000,15.000000,70555.972048,5.019540,70556.449036,70561.441180
8.000000,6850.547000,1.000000,5.000000,2.000000,15.000000,70576.578767,5.025743,70577.050976,70582.051500
9.000000,6868.516000,1.000000,1.000000,1.000000,60.000000,70594.552862,5.020766,70595.019366,70600.011520
10.000000,6879.312000,1.000000,2.000000,2.000000,60.000000,70605.345920,5.022531,70605.812057,70610.812549
11.000000,6894.482000,1.000000,4.000000,1.000000,15.000000,70620.528036,5.023550,70620.996847,70625.997333
12.000000,6904.419000,0.000000,3.000000,3.000000,60.000000,70630.467091,0.000000,0.000000,0.000000
12.000000,6916.043000,0.000000,3.000000,3.000000,60.000000,70642.087138,0.000000,0.000000,0.000000
12.000000,6925.948000,0.000000,3.000000,3.000000,60.000000,70651.993157,0.000000,0.000000,0.000000
12.000000,6939.323000,0.000000,3.000000,3.000000,60.000000,70665.360265,0.000000,0.000000,0.000000
12.000000,6967.026000,0.000000,3.000000,3.000000,60.000000,70693.058406,0.000000,0.000000,0.000000
12.000000,6982.453000,1.000000,3.000000,3.000000,60.000000,70708.489505,5.023264,70708.955254,70713.955765
13.000000,6995.031000,0.000000,5.000000,2.000000,15.000000,70721.067578,0.000000,0.000000,0.000000
13.000000,7008.345000,0.000000,5.000000,2.000000,15.000000,70734.364663,0.000000,0.000000,0.000000
13.000000,7022.315000,1.000000,5.000000,2.000000,15.000000,70748.342732,5.025615,70748.825745,70753.826255
14.000000,7045.826000,0.000000,4.000000,1.000000,15.000000,70771.858868,0.000000,0.000000,0.000000
14.000000,7065.346000,1.000000,4.000000,1.000000,15.000000,70791.367971,5.021365,70791.838172,70796.838663
15.000000,7083.316000,1.000000,2.000000,2.000000,60.000000,70809.344144,5.026240,70809.814894,70814.815399
16.000000,7094.142000,1.000000,6.000000,3.000000,15.000000,70820.164171,5.022830,70820.640891,70825.641415
17.000000,7104.786000,0.000000,1.000000,1.000000,60.000000,70830.815208,0.000000,0.000000,0.000000
17.000000,7116.172000,1.000000,1.000000,1.000000,60.000000,70842.211267,5.021223,70842.676364,70847.676877
18.000000,7127.704000,0.000000,3.000000,3.000000,60.000000,70853.733348,0.000000,0.000000,0.000000
18.000000,7139.128000,0.000000,3.000000,3.000000,60.000000,70865.154395,0.000000,0.000000,0.000000
18.000000,7150.282000,0.000000,3.000000,3.000000,60.000000,70876.308471,0.000000,0.000000,0.000000
18.000000,7161.284000,1.000000,3.000000,3.000000,60.000000,70887.304512,5.021535,70887.772345,70892.772808
