iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,8597.585000,1.000000,3.000000,3.000000,60.000000,357311.364845,5.021521,357311.868042,357316.860148
2.000000,8607.336000,1.000000,5.000000,2.000000,15.000000,357321.113806,5.024129,357321.593943,357326.594435
3.000000,8617.517000,0.000000,6.000000,3.000000,15.000000,357331.284844,0.000000,0.000000,0.000000
3.000000,8627.406000,1.000000,6.000000,3.000000,15.000000,357341.174926,5.027768,357341.670852,357346.679665
4.000000,8637.844000,1.000000,2.000000,2.000000,60.000000,357351.606967,5.026784,357352.080185,357357.080641
5.000000,8647.880000,1.000000,4.000000,1.000000,15.000000,357361.640005,5.026892,357362.131167,357367.139964
6.000000,8658.254000,1.000000,1.000000,1.000000,60.000000,357372.018088,5.024415,357372.498795,357377.499275
7.000000,8669.347000,1.000000,5.000000,2.000000,15.000000,357383.101182,5.023089,357383.574869,357388.575326
8.000000,8679.394000,1.000000,3.000000,3.000000,60.000000,357393.155348,5.027365,357393.642489,357398.642984
9.000000,8689.175000,1.000000,1.000000,1.000000,60.000000,357402.931249,5.026565,357403.401743,357408.410571
10.000000,8698.816000,1.000000,2.000000,2.000000,60.000000,357412.569322,5.020665,357413.077651,357418.069804
11.000000,8709.617000,1.000000,4.000000,1.000000,15.000000,357423.370486,5.022255,357423.853705,357428.854166
12.000000,8719.802000,1.000000,6.000000,3.000000,15.000000,357433.558420,5.021102,357434.046348,357439.038462
13.000000,8729.752000,1.000000,4.000000,1.000000,15.000000,357443.503478,5.027417,357443.988934,357448.997759
14.000000,8739.505000,1.000000,1.000000,1.000000,60.000000,357453.259544,5.021535,357453.748213,357458.740345
15.000000,8750.223000,1.000000,6.000000,3.000000,15.000000,357463.976609,5.025732,357464.474226,357469.474682
16.000000,8760.206000,1.000000,5.000000,2.000000,15.000000,357473.953671,5.020816,357474.433518,357479.425647
17.000000,8770.570000,1.000000,3.000000,3.000000,60.000000,357484.309728,5.020340,357484.792792,357489.793302
18.000000,8780.520000,1.000000,2.000000,2.000000,60.000000,357494.262788,5.019503,357494.735450,357499.727572
