iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,9173.101000,1.000000,3.000000,3.000000,60.000000,357886.837116,5.021054,357887.339429,357892.331586
2.000000,9182.929000,1.000000,5.000000,2.000000,15.000000,357896.661052,5.024433,357897.198683,357902.199216
3.000000,9192.804000,1.000000,2.000000,2.000000,60.000000,357906.545115,5.019889,357907.024645,357912.016805
4.000000,9204.647000,1.000000,1.000000,1.000000,60.000000,357918.379176,5.026834,357918.909122,357923.909568
5.000000,9215.366000,1.000000,4.000000,1.000000,15.000000,357929.096213,5.025055,357929.576874,357934.577271
6.000000,9225.131000,0.000000,6.000000,3.000000,15.000000,357938.865278,0.000000,0.000000,0.000000
6.000000,9234.849000,1.000000,6.000000,3.000000,15.000000,357948.576417,5.024238,357949.070341,357954.070811
7.000000,9244.506000,1.000000,4.000000,1.000000,15.000000,357958.236395,5.023428,357958.737906,357963.738364
8.000000,9254.864000,1.000000,5.000000,2.000000,15.000000,357968.590442,5.023788,357969.063875,357974.064335
9.000000,9265.083000,1.000000,6.000000,3.000000,15.000000,357978.814513,5.022745,357979.314873,357984.315324
10.000000,9275.645000,1.000000,2.000000,2.000000,60.000000,357989.371583,5.024769,357989.882543,357994.883013
11.000000,9285.786000,1.000000,3.000000,3.000000,60.000000,357999.513643,5.025260,357999.991837,358004.992297
12.000000,9296.065000,1.000000,1.000000,1.000000,60.000000,358009.792686,5.021438,358010.292795,358015.284972
13.000000,9306.408000,1.000000,4.000000,1.000000,15.000000,358020.138748,5.023686,358020.635430,358025.635928
14.000000,9316.033000,0.000000,2.000000,2.000000,60.000000,358029.761813,0.000000,0.000000,0.000000
14.000000,9326.327000,1.000000,2.000000,2.000000,60.000000,358040.054897,5.022052,358040.604030,358045.604494
15.000000,9337.364000,1.000000,3.000000,3.000000,60.000000,358051.078919,5.021459,358051.605072,358056.597212
16.000000,9349.083000,1.000000,6.000000,3.000000,15.000000,358062.817976,5.027309,358063.306152,358068.314959
17.000000,9359.973000,1.000000,5.000000,2.000000,15.000000,358073.698091,5.022281,358074.215552,358079.207656
18.000000,9369.989000,1.000000,1.000000,1.000000,60.000000,358083.721122,5.024959,358084.191471,358089.191979
