iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4829.039000,1.000000,2.000000,2.000000,60.000000,423620.651232,5.027240,423621.143141,423626.143596
2.000000,4838.852000,0.000000,5.000000,2.000000,15.000000,423630.465135,0.000000,0.000000,0.000000
2.000000,4848.538000,0.000000,5.000000,2.000000,15.000000,423640.148191,0.000000,0.000000,0.000000
2.000000,4859.954000,1.000000,5.000000,2.000000,15.000000,423651.555249,5.019400,423652.054415,423657.054897
3.000000,4874.129000,1.000000,3.000000,3.000000,60.000000,423665.740342,5.019650,423666.272429,423671.264547
4.000000,4884.232000,0.000000,1.000000,1.000000,60.000000,423675.833393,0.000000,0.000000,0.000000
4.000000,4895.447000,1.000000,1.000000,1.000000,60.000000,423687.024475,5.026869,423687.507793,423692.508265
5.000000,4905.837000,1.000000,6.000000,3.000000,15.000000,423697.415521,5.025625,423697.933772,423702.934262
6.000000,4915.868000,1.000000,4.000000,1.000000,15.000000,423707.461614,5.020849,423707.951397,423712.943516
7.000000,4931.613000,0.000000,6.000000,3.000000,15.000000,423723.189667,0.000000,0.000000,0.000000
7.000000,4941.877000,1.000000,6.000000,3.000000,15.000000,423733.454742,5.023392,423734.028856,423739.021000
8.000000,4951.471000,1.000000,4.000000,1.000000,15.000000,423743.034840,5.026475,423743.546442,423748.546917
9.000000,4961.488000,1.000000,1.000000,1.000000,60.000000,423753.060829,5.024804,423753.539048,423758.539526
10.000000,4971.237000,1.000000,2.000000,2.000000,60.000000,423762.805892,5.025966,423763.298329,423768.298800
11.000000,4982.706000,1.000000,3.000000,3.000000,60.000000,423774.279956,5.021749,423774.766078,423779.758195
12.000000,4992.406000,0.000000,5.000000,2.000000,15.000000,423783.977031,0.000000,0.000000,0.000000
12.000000,5006.436000,0.000000,5.000000,2.000000,15.000000,423798.022267,0.000000,0.000000,0.000000
12.000000,5017.608000,1.000000,5.000000,2.000000,15.000000,423809.186153,5.025709,423809.686034,423814.686528
13.000000,5027.144000,0.000000,5.000000,2.000000,15.000000,423818.722248,0.000000,0.000000,0.000000
13.000000,5036.797000,0.000000,5.000000,2.000000,15.000000,423828.377274,0.000000,0.000000,0.000000
13.000000,5047.609000,0.000000,5.000000,2.000000,15.000000,423839.183318,0.000000,0.000000,0.000000
13.000000,5057.220000,0.000000,5.000000,2.000000,15.000000,423848.790397,0.000000,0.000000,0.000000
13.000000,5068.594000,1.000000,5.000000,2.000000,15.000000,423860.164464,5.022992,423860.649226,423865.649719
14.000000,5078.328000,1.000000,4.000000,1.000000,15.000000,423869.899504,5.020667,423870.400154,423875.400665
15.000000,5087.937000,0.000000,6.000000,3.000000,15.000000,423879.506538,0.000000,0.000000,0.000000
15.000000,5100.561000,1.000000,6.000000,3.000000,15.000000,423892.125608,5.020829,423892.652277,423897.652774
16.000000,5110.326000,0.000000,2.000000,2.000000,60.000000,423901.890677,0.000000,0.000000,0.000000
16.000000,5120.182000,1.000000,2.000000,2.000000,60.000000,423911.754749,5.026831,423912.245817,423917.246286
17.000000,5131.276000,0.000000,1.000000,1.000000,60.000000,423922.864063,0.000000,0.000000,0.000000
17.000000,5141.260000,0.000000,1.000000,1.000000,60.000000,423932.831864,0.000000,0.000000,0.000000
17.000000,5150.995000,0.000000,1.000000,1.000000,60.000000,423942.565949,0.000000,0.000000,0.000000
17.000000,5161.119000,0.000000,1.000000,1.000000,60.000000,423952.681952,0.000000,0.000000,0.000000
17.000000,5171.060000,0.000000,1.000000,1.000000,60.000000,423962.633014,0.000000,0.000000,0.000000
17.000000,5181.869000,0.000000,1.000000,1.000000,60.000000,423973.446094,0.000000,0.000000,0.000000
17.000000,5194.719000,1.000000,1.000000,1.000000,60.000000,423986.288151,5.025184,423986.811232,423991.811743
18.000000,5204.453000,1.000000,3.000000,3.000000,60.000000,423996.024218,5.024413,423996.562167,424001.562644
