iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,2987.949000,0.000000,6.000000,3.000000,15.000000,421779.682766,0.000000,0.000000,0.000000
1.000000,2997.574000,0.000000,6.000000,3.000000,15.000000,421789.300722,0.000000,0.000000,0.000000
1.000000,3007.105000,0.000000,6.000000,3.000000,15.000000,421798.828772,0.000000,0.000000,0.000000
1.000000,3061.129000,1.000000,6.000000,3.000000,15.000000,421852.844080,5.024472,421853.325159,421858.325671
2.000000,3071.107000,0.000000,2.000000,2.000000,60.000000,421862.820143,0.000000,0.000000,0.000000
2.000000,3081.216000,0.000000,2.000000,2.000000,60.000000,421872.913196,0.000000,0.000000,0.000000
2.000000,3105.984000,0.000000,2.000000,2.000000,60.000000,421897.680329,0.000000,0.000000,0.000000
2.000000,3117.751000,0.000000,2.000000,2.000000,60.000000,421909.444400,0.000000,0.000000,0.000000
2.000000,3127.344000,0.000000,2.000000,2.000000,60.000000,421919.036461,0.000000,0.000000,0.000000
2.000000,3136.941000,1.000000,2.000000,2.000000,60.000000,421928.631513,5.019907,421929.115676,421934.116199
3.000000,3146.530000,0.000000,1.000000,1.000000,60.000000,421938.219554,0.000000,0.000000,0.000000
3.000000,3156.361000,0.000000,1.000000,1.000000,60.000000,421948.051972,0.000000,0.000000,0.000000
3.000000,3167.502000,0.000000,1.000000,1.000000,60.000000,421959.187698,0.000000,0.000000,0.000000
3.000000,3177.659000,0.000000,1.000000,1.000000,60.000000,421969.342745,0.000000,0.000000,0.000000
3.000000,3194.204000,0.000000,1.000000,1.000000,60.000000,421985.890850,0.000000,0.000000,0.000000
3.000000,3208.001000,1.000000,1.000000,1.000000,60.000000,421999.680909,5.024085,422000.164126,422005.164595
4.000000,3222.122000,0.000000,5.000000,2.000000,15.000000,422013.822010,0.000000,0.000000,0.000000
4.000000,3232.451000,0.000000,5.000000,2.000000,15.000000,422024.146038,0.000000,0.000000,0.000000
4.000000,3254.059000,0.000000,5.000000,2.000000,15.000000,422045.750175,0.000000,0.000000,0.000000
4.000000,3263.703000,0.000000,5.000000,2.000000,15.000000,422055.393229,0.000000,0.000000,0.000000
4.000000,3273.421000,0.000000,5.000000,2.000000,15.000000,422065.103284,0.000000,0.000000,0.000000
4.000000,3283.640000,0.000000,5.000000,2.000000,15.000000,422075.323346,0.000000,0.000000,0.000000
4.000000,3295.910000,0.000000,5.000000,2.000000,15.000000,422087.590406,0.000000,0.000000,0.000000
4.000000,3458.498000,0.000000,5.000000,2.000000,15.000000,422250.173331,0.000000,0.000000,0.000000
4.000000,3469.128000,1.000000,5.000000,2.000000,15.000000,422260.796395,5.023078,422261.272269,422266.272753
5.000000,3479.238000,0.000000,3.000000,3.000000,60.000000,422270.909444,0.000000,0.000000,0.000000
5.000000,3489.018000,0.000000,3.000000,3.000000,60.000000,422280.687501,0.000000,0.000000,0.000000
5.000000,3502.220000,1.000000,3.000000,3.000000,60.000000,422293.882575,5.019749,422294.350401,422299.350912
6.000000,3512.873000,0.000000,4.000000,1.000000,15.000000,422304.554635,0.000000,0.000000,0.000000
6.000000,3523.422000,0.000000,4.000000,1.000000,15.000000,422315.098707,0.000000,0.000000,0.000000
6.000000,3533.768000,0.000000,4.000000,1.000000,15.000000,422325.448776,0.000000,0.000000,0.000000
6.000000,3548.752000,1.000000,4.000000,1.000000,15.000000,422340.414855,5.025142,422340.904832,422345.905365
7.000000,3559.828000,1.000000,2.000000,2.000000,60.000000,422351.496909,5.020188,422351.972582,422356.964724
8.000000,3571.158000,1.000000,6.000000,3.000000,15.000000,422362.832969,5.023017,422363.306992,422368.307443
9.000000,3581.294000,0.000000,1.000000,1.000000,60.000000,422372.980045,0.000000,0.000000,0.000000
9.000000,3593.406000,0.000000,1.000000,1.000000,60.000000,422385.079094,0.000000,0.000000,0.000000
9.000000,3605.436000,0.000000,1.000000,1.000000,60.000000,422397.107171,0.000000,0.000000,0.000000
9.000000,3617.263000,0.000000,1.000000,1.000000,60.000000,422408.933241,0.000000,0.000000,0.000000
9.000000,3628.030000,0.000000,1.000000,1.000000,60.000000,422419.692305,0.000000,0.000000,0.000000
9.000000,3640.264000,0.000000,1.000000,1.000000,60.000000,422431.920343,0.000000,0.000000,0.000000
9.000000,3649.951000,0.000000,1.000000,1.000000,60.000000,422441.608429,0.000000,0.000000,0.000000
9.000000,3661.122000,0.000000,1.000000,1.000000,60.000000,422452.777473,0.000000,0.000000,0.000000
9.000000,3699.737000,0.000000,1.000000,1.000000,60.000000,422491.388699,0.000000,0.000000,0.000000
9.000000,3709.284000,0.000000,1.000000,1.000000,60.000000,422500.935744,0.000000,0.000000,0.000000
9.000000,3719.422000,0.000000,1.000000,1.000000,60.000000,422511.088821,0.000000,0.000000,0.000000
9.000000,3730.503000,1.000000,1.000000,1.000000,60.000000,422522.171871,5.025051,422522.647126,422527.647564
10.000000,3741.239000,1.000000,3.000000,3.000000,60.000000,422532.896951,5.025999,422533.373140,422538.373638
11.000000,3753.006000,1.000000,4.000000,1.000000,15.000000,422544.659993,5.027537,422545.132585,422550.141396
12.000000,3765.927000,0.000000,5.000000,2.000000,15.000000,422557.581066,0.000000,0.000000,0.000000
12.000000,3776.400000,1.000000,5.000000,2.000000,15.000000,422568.064195,5.025678,422568.551465,422573.551977
13.000000,3787.290000,0.000000,1.000000,1.000000,60.000000,422578.929191,0.000000,0.000000,0.000000
13.000000,3800.742000,1.000000,1.000000,1.000000,60.000000,422592.399263,5.024286,422592.870442,422597.870927
14.000000,3814.116000,1.000000,5.000000,2.000000,15.000000,422605.766370,5.026689,422606.255046,422611.255542
15.000000,3825.584000,1.000000,3.000000,3.000000,60.000000,422617.227409,5.027979,422617.697818,422622.706646
16.000000,3836.318000,0.000000,6.000000,3.000000,15.000000,422627.958480,0.000000,0.000000,0.000000
16.000000,3846.209000,0.000000,6.000000,3.000000,15.000000,422637.864509,0.000000,0.000000,0.000000
16.000000,3855.986000,0.000000,6.000000,3.000000,15.000000,422647.627575,0.000000,0.000000,0.000000
16.000000,3867.552000,1.000000,6.000000,3.000000,15.000000,422659.207633,5.020322,422659.685136,422664.685603
17.000000,3877.525000,0.000000,2.000000,2.000000,60.000000,422669.179697,0.000000,0.000000,0.000000
17.000000,3887.649000,1.000000,2.000000,2.000000,60.000000,422679.296756,5.025507,422679.770362,422684.770890
18.000000,3899.160000,1.000000,4.000000,1.000000,15.000000,422690.812863,5.024324,422691.288128,422696.288636
