iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,5287.955000,1.000000,1.000000,1.000000,60.000000,424079.510708,5.024305,424080.011772,424085.012239
2.000000,5297.658000,1.000000,3.000000,3.000000,60.000000,424089.205790,5.027306,424089.704342,424094.713151
3.000000,5308.376000,1.000000,6.000000,3.000000,15.000000,424099.939811,5.023146,424100.505385,424105.497505
4.000000,5318.613000,1.000000,5.000000,2.000000,15.000000,424110.158867,5.025846,424110.664639,424115.665146
5.000000,5328.407000,1.000000,4.000000,1.000000,15.000000,424119.968923,5.024559,424120.515584,424125.516078
6.000000,5338.895000,1.000000,2.000000,2.000000,60.000000,424130.436945,5.020153,424130.983287,424135.983748
7.000000,5351.042000,1.000000,5.000000,2.000000,15.000000,424142.592036,5.023058,424143.076107,424148.076536
8.000000,5360.644000,0.000000,1.000000,1.000000,60.000000,424152.200108,0.000000,0.000000,0.000000
8.000000,5370.739000,1.000000,1.000000,1.000000,60.000000,424162.292162,5.019336,424162.802936,424167.795086
9.000000,5380.851000,1.000000,2.000000,2.000000,60.000000,424172.397242,5.021999,424172.895558,424177.896038
10.000000,5390.788000,0.000000,3.000000,3.000000,60.000000,424182.342287,0.000000,0.000000,0.000000
10.000000,5403.022000,1.000000,3.000000,3.000000,60.000000,424194.568345,5.024268,424195.122717,424200.123167
11.000000,5414.863000,0.000000,4.000000,1.000000,15.000000,424206.411434,0.000000,0.000000,0.000000
11.000000,5424.471000,0.000000,4.000000,1.000000,15.000000,424216.013489,0.000000,0.000000,0.000000
11.000000,5434.049000,0.000000,4.000000,1.000000,15.000000,424225.592487,0.000000,0.000000,0.000000
11.000000,5445.108000,0.000000,4.000000,1.000000,15.000000,424236.665573,0.000000,0.000000,0.000000
11.000000,5457.232000,1.000000,4.000000,1.000000,15.000000,424248.773637,5.021110,424249.286158,424254.278316
12.000000,5467.388000,1.000000,6.000000,3.000000,15.000000,424258.947729,5.021901,424259.495482,424264.495949
13.000000,5477.373000,1.000000,5.000000,2.000000,15.000000,424268.931785,5.022144,424269.429754,424274.421880
14.000000,5487.107000,1.000000,6.000000,3.000000,15.000000,424278.646823,5.026000,424279.205685,424284.206164
15.000000,5498.339000,1.000000,1.000000,1.000000,60.000000,424289.899880,5.026847,424290.448466,424295.448924
16.000000,5509.669000,1.000000,3.000000,3.000000,60.000000,424301.224009,5.023078,424301.724515,424306.724943
17.000000,5519.744000,0.000000,4.000000,1.000000,15.000000,424311.298989,0.000000,0.000000,0.000000
17.000000,5529.559000,1.000000,4.000000,1.000000,15.000000,424321.107062,5.026839,424321.576348,424326.585157
18.000000,5539.200000,1.000000,2.000000,2.000000,60.000000,424330.751124,5.020586,424331.243928,424336.236080
