iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,12989.267000,1.000000,1.000000,1.000000,60.000000,431780.378441,5.024302,431780.893315,431785.885441
2.000000,12999.119000,1.000000,5.000000,2.000000,15.000000,431790.237295,5.026491,431790.727573,431795.736377
3.000000,13008.887000,1.000000,6.000000,3.000000,15.000000,431800.020395,5.023541,431800.520162,431805.512306
4.000000,13019.432000,1.000000,3.000000,3.000000,60.000000,431810.546409,5.020411,431811.087841,431816.088329
5.000000,13029.725000,1.000000,4.000000,1.000000,15.000000,431820.840509,5.026089,431821.330505,431826.330973
6.000000,13039.458000,1.000000,2.000000,2.000000,60.000000,431830.575566,5.026675,431831.048069,431836.056894
7.000000,13050.296000,1.000000,4.000000,1.000000,15.000000,431841.400623,5.021122,431841.924107,431846.916265
8.000000,13060.533000,1.000000,3.000000,3.000000,60.000000,431851.637687,5.027193,431852.116737,431857.125525
9.000000,13070.861000,1.000000,5.000000,2.000000,15.000000,431861.966718,5.023523,431862.501057,431867.493210
10.000000,13081.346000,1.000000,2.000000,2.000000,60.000000,431872.431790,5.023505,431872.918706,431877.919182
11.000000,13091.118000,0.000000,6.000000,3.000000,15.000000,431882.212883,0.000000,0.000000,0.000000
11.000000,13100.868000,0.000000,6.000000,3.000000,15.000000,431891.957936,0.000000,0.000000,0.000000
11.000000,13111.127000,1.000000,6.000000,3.000000,15.000000,431902.215971,5.027133,431902.704897,431907.705336
12.000000,13121.269000,0.000000,1.000000,1.000000,60.000000,431912.352972,0.000000,0.000000,0.000000
12.000000,13131.157000,1.000000,1.000000,1.000000,60.000000,431922.242064,5.025885,431922.715136,431927.707282
13.000000,13140.842000,0.000000,4.000000,1.000000,15.000000,431931.911144,0.000000,0.000000,0.000000
13.000000,13150.745000,1.000000,4.000000,1.000000,15.000000,431941.821188,5.024790,431942.316967,431947.309108
14.000000,13160.620000,0.000000,1.000000,1.000000,60.000000,431951.694264,0.000000,0.000000,0.000000
14.000000,13170.760000,0.000000,1.000000,1.000000,60.000000,431961.833259,0.000000,0.000000,0.000000
14.000000,13180.454000,1.000000,1.000000,1.000000,60.000000,431971.516317,5.024941,431971.986454,431976.986948
15.000000,13190.207000,0.000000,2.000000,2.000000,60.000000,431981.270381,0.000000,0.000000,0.000000
15.000000,13200.331000,1.000000,2.000000,2.000000,60.000000,431991.392489,5.025835,431991.913339,431996.913852
16.000000,13210.087000,0.000000,6.000000,3.000000,15.000000,432001.144484,0.000000,0.000000,0.000000
16.000000,13219.791000,0.000000,6.000000,3.000000,15.000000,432010.847556,0.000000,0.000000,0.000000
16.000000,13229.430000,1.000000,6.000000,3.000000,15.000000,432020.486632,5.025941,432021.041151,432026.033259
17.000000,13239.820000,0.000000,5.000000,2.000000,15.000000,432030.872693,0.000000,0.000000,0.000000
17.000000,13249.427000,0.000000,5.000000,2.000000,15.000000,432040.478758,0.000000,0.000000,0.000000
17.000000,13259.861000,0.000000,5.000000,2.000000,15.000000,432050.938770,0.000000,0.000000,0.000000
17.000000,13269.564000,0.000000,5.000000,2.000000,15.000000,432060.619872,0.000000,0.000000,0.000000
17.000000,13279.724000,0.000000,5.000000,2.000000,15.000000,432070.776008,0.000000,0.000000,0.000000
17.000000,13289.896000,0.000000,5.000000,2.000000,15.000000,432080.946993,0.000000,0.000000,0.000000
17.000000,13299.645000,0.000000,5.000000,2.000000,15.000000,432090.693048,0.000000,0.000000,0.000000
17.000000,13311.644000,1.000000,5.000000,2.000000,15.000000,432102.713071,5.020552,432103.215613,432108.207731
18.000000,13321.597000,1.000000,3.000000,3.000000,60.000000,432112.659173,5.025364,432113.149885,432118.150369
