iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,13394.191000,1.000000,6.000000,3.000000,15.000000,432185.240608,5.025982,432185.731787,432190.732242
2.000000,13403.828000,0.000000,2.000000,2.000000,60.000000,432194.887623,0.000000,0.000000,0.000000
2.000000,13413.426000,0.000000,2.000000,2.000000,60.000000,432204.480655,0.000000,0.000000,0.000000
2.000000,13423.273000,0.000000,2.000000,2.000000,60.000000,432214.323705,0.000000,0.000000,0.000000
2.000000,13433.098000,0.000000,2.000000,2.000000,60.000000,432224.147803,0.000000,0.000000,0.000000
2.000000,13450.897000,1.000000,2.000000,2.000000,60.000000,432241.943850,5.020701,432242.420472,432247.420978
3.000000,13460.428000,1.000000,5.000000,2.000000,15.000000,432251.483907,5.019810,432251.971427,432256.963555
4.000000,13470.271000,1.000000,1.000000,1.000000,60.000000,432261.321984,5.024960,432261.813995,432266.814489
5.000000,13483.724000,1.000000,4.000000,1.000000,15.000000,432274.764026,5.022589,432275.256961,432280.249101
6.000000,13493.990000,0.000000,3.000000,3.000000,60.000000,432285.034108,0.000000,0.000000,0.000000
6.000000,13504.100000,1.000000,3.000000,3.000000,60.000000,432295.144158,5.026931,432295.608867,432300.609369
7.000000,13516.114000,1.000000,1.000000,1.000000,60.000000,432307.156236,5.021703,432307.626683,432312.627173
8.000000,13525.744000,0.000000,2.000000,2.000000,60.000000,432316.780288,0.000000,0.000000,0.000000
8.000000,13535.789000,1.000000,2.000000,2.000000,60.000000,432326.835332,5.024705,432327.311895,432332.312363
9.000000,13545.340000,0.000000,5.000000,2.000000,15.000000,432336.366399,0.000000,0.000000,0.000000
9.000000,13556.825000,1.000000,5.000000,2.000000,15.000000,432347.850442,5.023978,432348.330552,432353.331049
10.000000,13566.465000,1.000000,4.000000,1.000000,15.000000,432357.504531,5.023673,432357.998183,432362.998611
11.000000,13576.605000,0.000000,6.000000,3.000000,15.000000,432367.630623,0.000000,0.000000,0.000000
11.000000,13586.263000,0.000000,6.000000,3.000000,15.000000,432377.298640,0.000000,0.000000,0.000000
11.000000,13595.981000,0.000000,6.000000,3.000000,15.000000,432387.010738,0.000000,0.000000,0.000000
11.000000,13605.559000,0.000000,6.000000,3.000000,15.000000,432396.587738,0.000000,0.000000,0.000000
11.000000,13616.296000,1.000000,6.000000,3.000000,15.000000,432407.312811,5.021706,432407.786183,432412.786671
12.000000,13625.790000,1.000000,3.000000,3.000000,60.000000,432416.829898,5.025607,432417.312132,432422.312590
13.000000,13635.431000,1.000000,4.000000,1.000000,15.000000,432426.475928,5.022506,432426.979685,432431.980192
14.000000,13645.258000,1.000000,3.000000,3.000000,60.000000,432436.303976,5.021271,432436.863988,432441.856123
15.000000,13655.367000,1.000000,5.000000,2.000000,15.000000,432446.403024,5.020906,432446.898266,432451.898734
16.000000,13664.915000,0.000000,6.000000,3.000000,15.000000,432455.952104,0.000000,0.000000,0.000000
16.000000,13674.773000,0.000000,6.000000,3.000000,15.000000,432465.818124,0.000000,0.000000,0.000000
16.000000,13684.757000,0.000000,6.000000,3.000000,15.000000,432475.792184,0.000000,0.000000,0.000000
16.000000,13694.290000,0.000000,6.000000,3.000000,15.000000,432485.332272,0.000000,0.000000,0.000000
16.000000,13703.850000,0.000000,6.000000,3.000000,15.000000,432494.886289,0.000000,0.000000,0.000000
16.000000,13715.396000,1.000000,6.000000,3.000000,15.000000,432506.417357,5.026990,432506.895627,432511.904444
17.000000,13725.583000,1.000000,2.000000,2.000000,60.000000,432516.602398,5.026127,432517.063239,432522.063715
18.000000,13735.287000,1.000000,1.000000,1.000000,60.000000,432526.305444,5.019507,432526.772498,432531.773001
