iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,13800.932000,1.000000,3.000000,3.000000,60.000000,432591.969841,5.022350,432592.462112,432597.454247
2.000000,13811.099000,1.000000,1.000000,1.000000,60.000000,432602.116905,5.024495,432602.596362,432607.596843
3.000000,13820.604000,1.000000,6.000000,3.000000,15.000000,432611.630955,5.023756,432612.113955,432617.114418
4.000000,13832.251000,1.000000,4.000000,1.000000,15.000000,432623.256007,5.026248,432623.731709,432628.732212
5.000000,13841.954000,0.000000,2.000000,2.000000,60.000000,432632.959049,0.000000,0.000000,0.000000
5.000000,13851.531000,0.000000,2.000000,2.000000,60.000000,432642.549114,0.000000,0.000000,0.000000
5.000000,13861.250000,0.000000,2.000000,2.000000,60.000000,432652.270202,0.000000,0.000000,0.000000
5.000000,13871.047000,0.000000,2.000000,2.000000,60.000000,432662.072235,0.000000,0.000000,0.000000
5.000000,13882.218000,1.000000,2.000000,2.000000,60.000000,432673.237337,5.025834,432673.703118,432678.703628
6.000000,13892.250000,1.000000,5.000000,2.000000,15.000000,432683.266361,5.019802,432683.737422,432688.737891
7.000000,13902.438000,1.000000,5.000000,2.000000,15.000000,432693.456405,5.019965,432693.938399,432698.930547
8.000000,13912.751000,1.000000,2.000000,2.000000,60.000000,432703.765478,5.021152,432704.231013,432709.231502
9.000000,13922.441000,0.000000,4.000000,1.000000,15.000000,432713.435530,0.000000,0.000000,0.000000
9.000000,13932.831000,1.000000,4.000000,1.000000,15.000000,432723.839604,5.023051,432724.366306,432729.366746
10.000000,13943.279000,1.000000,1.000000,1.000000,60.000000,432734.293642,5.024836,432734.775607,432739.776076
11.000000,13955.655000,1.000000,6.000000,3.000000,15.000000,432746.660716,5.024923,432747.193425,432752.193922
12.000000,13965.672000,1.000000,3.000000,3.000000,60.000000,432756.680767,5.023759,432757.144401,432762.144883
13.000000,13975.467000,0.000000,5.000000,2.000000,15.000000,432766.478841,0.000000,0.000000,0.000000
13.000000,13985.656000,1.000000,5.000000,2.000000,15.000000,432776.656885,5.027227,432777.129626,432782.130110
14.000000,13995.249000,1.000000,2.000000,2.000000,60.000000,432786.250937,5.022836,432786.713862,432791.714354
15.000000,14004.765000,0.000000,3.000000,3.000000,60.000000,432795.768000,0.000000,0.000000,0.000000
15.000000,14014.484000,0.000000,3.000000,3.000000,60.000000,432805.486047,0.000000,0.000000,0.000000
15.000000,14024.124000,0.000000,3.000000,3.000000,60.000000,432815.132103,0.000000,0.000000,0.000000
15.000000,14033.655000,0.000000,3.000000,3.000000,60.000000,432824.664197,0.000000,0.000000,0.000000
15.000000,14043.920000,1.000000,3.000000,3.000000,60.000000,432834.921181,5.023450,432835.393492,432840.393978
16.000000,14055.828000,1.000000,1.000000,1.000000,60.000000,432846.823285,5.024807,432847.286270,432852.286770
17.000000,14066.202000,1.000000,4.000000,1.000000,15.000000,432857.212337,5.026912,432857.678943,432862.679407
18.000000,14076.547000,1.000000,6.000000,3.000000,15.000000,432867.546417,5.026245,432868.021572,432873.022074
