iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,3724.984000,1.000000,6.000000,3.000000,15.000000,930479.188992,5.021139,930479.770505,930484.762543
2.000000,3744.855000,1.000000,5.000000,2.000000,15.000000,930499.026173,5.027352,930499.505626,930504.514419
3.000000,3775.636000,0.000000,1.000000,1.000000,60.000000,930529.809196,0.000000,0.000000,0.000000
3.000000,3785.833000,1.000000,1.000000,1.000000,60.000000,930539.989273,5.022891,930540.476193,930545.476664
4.000000,3796.114000,1.000000,3.000000,3.000000,60.000000,930550.268331,5.021072,930550.835546,930555.827639
5.000000,3806.989000,1.000000,2.000000,2.000000,60.000000,930561.147367,5.025271,930561.711527,930566.712056
6.000000,3817.764000,1.000000,4.000000,1.000000,15.000000,930571.906435,5.022759,930572.387567,930577.379716
7.000000,3828.307000,1.000000,2.000000,2.000000,60.000000,930582.456507,5.020062,930582.921900,930587.922357
8.000000,3839.247000,1.000000,4.000000,1.000000,15.000000,930593.384691,5.024144,930593.856259,930598.856736
9.000000,3849.194000,1.000000,6.000000,3.000000,15.000000,930603.320626,5.020771,930603.790564,930608.791010
10.000000,3859.132000,0.000000,5.000000,2.000000,15.000000,930613.259679,0.000000,0.000000,0.000000
10.000000,3868.975000,0.000000,5.000000,2.000000,15.000000,930623.124926,0.000000,0.000000,0.000000
10.000000,3879.750000,1.000000,5.000000,2.000000,15.000000,930633.872810,5.019752,930634.418483,930639.410585
11.000000,3890.031000,1.000000,3.000000,3.000000,60.000000,930644.158863,5.027091,930644.644439,930649.653233
12.000000,3899.968000,1.000000,1.000000,1.000000,60.000000,930654.104903,5.024881,930654.578701,930659.579216
13.000000,3910.244000,1.000000,5.000000,2.000000,15.000000,930664.362992,5.027443,930664.854686,930669.863522
14.000000,3920.260000,0.000000,6.000000,3.000000,15.000000,930674.377011,0.000000,0.000000,0.000000
14.000000,3930.915000,1.000000,6.000000,3.000000,15.000000,930685.016058,5.024922,930685.515028,930690.515459
15.000000,3941.582000,1.000000,4.000000,1.000000,15.000000,930695.670157,5.025674,930696.149356,930701.149810
16.000000,3952.643000,1.000000,3.000000,3.000000,60.000000,930706.743214,5.019288,930707.267052,930712.267541
17.000000,3964.002000,1.000000,2.000000,2.000000,60.000000,930718.109243,5.021434,930718.626505,930723.618631
18.000000,3973.886000,0.000000,1.000000,1.000000,60.000000,930727.982357,0.000000,0.000000,0.000000
18.000000,3985.917000,0.000000,1.000000,1.000000,60.000000,930740.004437,0.000000,0.000000,0.000000
18.000000,3995.823000,1.000000,1.000000,1.000000,60.000000,930749.910437,5.020354,930750.371166,930755.371635
