iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4319.566000,1.000000,5.000000,2.000000,15.000000,931073.624557,5.022915,931074.135357,931079.127452
2.000000,4338.221000,1.000000,1.000000,1.000000,60.000000,931092.282390,5.023014,931092.753753,931097.754240
3.000000,4349.027000,1.000000,2.000000,2.000000,60.000000,931103.080425,5.022649,931103.554793,931108.546904
4.000000,4358.933000,1.000000,6.000000,3.000000,15.000000,931112.985519,5.023781,931113.547379,931118.547863
5.000000,4369.152000,1.000000,3.000000,3.000000,60.000000,931123.199560,5.027336,931123.681689,931128.682181
6.000000,4380.604000,1.000000,4.000000,1.000000,15.000000,931134.672703,5.020533,931135.182795,931140.183266
7.000000,4390.698000,0.000000,3.000000,3.000000,60.000000,931144.756654,0.000000,0.000000,0.000000
7.000000,4401.087000,1.000000,3.000000,3.000000,60.000000,931155.147780,5.023730,931155.701386,931160.701906
8.000000,4419.743000,1.000000,5.000000,2.000000,15.000000,931173.787859,5.019917,931174.294826,931179.286954
9.000000,4429.945000,0.000000,1.000000,1.000000,60.000000,931184.012891,0.000000,0.000000,0.000000
9.000000,4441.553000,1.000000,1.000000,1.000000,60.000000,931195.613972,5.023683,931196.096934,931201.097431
10.000000,4452.050000,0.000000,4.000000,1.000000,15.000000,931206.110000,0.000000,0.000000,0.000000
10.000000,4462.146000,1.000000,4.000000,1.000000,15.000000,931216.188126,5.024715,931216.673865,931221.674365
11.000000,4472.416000,1.000000,6.000000,3.000000,15.000000,931226.468172,5.024894,931226.999837,931232.000327
12.000000,4483.492000,1.000000,2.000000,2.000000,60.000000,931237.543228,5.019915,931238.084237,931243.076417
13.000000,4496.070000,1.000000,4.000000,1.000000,15.000000,931250.115272,5.026813,931250.593773,931255.602590
14.000000,4513.651000,1.000000,6.000000,3.000000,15.000000,931267.701418,5.025415,931268.178799,931273.179260
15.000000,4525.166000,0.000000,2.000000,2.000000,60.000000,931279.212426,0.000000,0.000000,0.000000
15.000000,4542.375000,1.000000,2.000000,2.000000,60.000000,931296.420543,5.026325,931296.898172,931301.898645
16.000000,4558.528000,1.000000,5.000000,2.000000,15.000000,931312.560635,5.020302,931313.083042,931318.083536
17.000000,4589.215000,0.000000,3.000000,3.000000,60.000000,931343.260781,0.000000,0.000000,0.000000
17.000000,4603.324000,1.000000,3.000000,3.000000,60.000000,931357.367887,5.023330,931357.853965,931362.854475
18.000000,4620.124000,0.000000,1.000000,1.000000,60.000000,931374.159075,0.000000,0.000000,0.000000
18.000000,4634.793000,0.000000,1.000000,1.000000,60.000000,931388.838092,0.000000,0.000000,0.000000
18.000000,4650.308000,0.000000,1.000000,1.000000,60.000000,931404.346140,0.000000,0.000000,0.000000
18.000000,4660.090000,1.000000,1.000000,1.000000,60.000000,931414.133184,5.022957,931414.609382,931419.609863
