iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4837.606000,1.000000,6.000000,3.000000,15.000000,931591.629352,5.026570,931592.201277,931597.193403
2.000000,4862.464000,0.000000,2.000000,2.000000,60.000000,931616.503376,0.000000,0.000000,0.000000
2.000000,4877.205000,1.000000,2.000000,2.000000,60.000000,931631.222519,5.021686,931631.696700,931636.688830
3.000000,4889.965000,0.000000,3.000000,3.000000,60.000000,931643.988511,0.000000,0.000000,0.000000
3.000000,4903.092000,1.000000,3.000000,3.000000,60.000000,931657.099579,5.020661,931657.574146,931662.566299
4.000000,4923.029000,1.000000,4.000000,1.000000,15.000000,931677.055693,5.024203,931677.551073,931682.551527
5.000000,4933.063000,1.000000,1.000000,1.000000,60.000000,931687.067840,5.023260,931687.543667,931692.544141
6.000000,4943.484000,1.000000,5.000000,2.000000,15.000000,931697.501804,5.021688,931697.986328,931702.986794
7.000000,4953.734000,0.000000,4.000000,1.000000,15.000000,931707.752860,0.000000,0.000000,0.000000
7.000000,4966.784000,1.000000,4.000000,1.000000,15.000000,931720.792967,5.020364,931721.305210,931726.305726
8.000000,4978.252000,1.000000,6.000000,3.000000,15.000000,931732.272041,5.019305,931732.747993,931737.740132
9.000000,4988.283000,0.000000,3.000000,3.000000,60.000000,931742.312069,0.000000,0.000000,0.000000
9.000000,4998.031000,1.000000,3.000000,3.000000,60.000000,931752.061122,5.022259,931752.599854,931757.592035
10.000000,5007.953000,0.000000,1.000000,1.000000,60.000000,931761.965289,0.000000,0.000000,0.000000
10.000000,5018.015000,1.000000,1.000000,1.000000,60.000000,931772.019328,5.024963,931772.501748,931777.502255
11.000000,5028.968000,1.000000,2.000000,2.000000,60.000000,931782.988284,5.024590,931783.486124,931788.486618
12.000000,5041.514000,0.000000,5.000000,2.000000,15.000000,931795.532360,0.000000,0.000000,0.000000
12.000000,5068.998000,0.000000,5.000000,2.000000,15.000000,931823.016627,0.000000,0.000000,0.000000
12.000000,5078.936000,1.000000,5.000000,2.000000,15.000000,931832.952584,5.025831,931833.424234,931838.424715
13.000000,5088.532000,1.000000,6.000000,3.000000,15.000000,931842.543615,5.022291,931843.016823,931848.017282
14.000000,5098.889000,0.000000,1.000000,1.000000,60.000000,931852.889691,0.000000,0.000000,0.000000
14.000000,5108.854000,0.000000,1.000000,1.000000,60.000000,931862.871761,0.000000,0.000000,0.000000
14.000000,5119.547000,1.000000,1.000000,1.000000,60.000000,931873.563974,5.023448,931874.036425,931879.036913
15.000000,5130.029000,1.000000,5.000000,2.000000,15.000000,931884.039856,5.019710,931884.537433,931889.537925
16.000000,5144.606000,1.000000,4.000000,1.000000,15.000000,931898.630935,5.024132,931899.155493,931904.155939
17.000000,5155.281000,1.000000,2.000000,2.000000,60.000000,931909.302013,5.025842,931909.789820,931914.790303
18.000000,5169.511000,0.000000,3.000000,3.000000,60.000000,931923.526089,0.000000,0.000000,0.000000
18.000000,5179.440000,1.000000,3.000000,3.000000,60.000000,931933.442131,5.020177,931933.908777,931938.909267
