iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4255.231000,1.000000,3.000000,3.000000,60.000000,24586.964498,5.026361,24587.463569,24592.464020
2.000000,4266.231000,1.000000,2.000000,2.000000,60.000000,24597.962310,5.025059,24598.447911,24603.448429
3.000000,4276.122000,1.000000,5.000000,2.000000,15.000000,24607.852294,5.019626,24608.332222,24613.324347
4.000000,4286.784000,1.000000,6.000000,3.000000,15.000000,24618.501405,5.021374,24618.991466,24623.991999
5.000000,4296.504000,1.000000,1.000000,1.000000,60.000000,24628.227354,5.024366,24628.709067,24633.709589
6.000000,4306.955000,1.000000,4.000000,1.000000,15.000000,24638.671348,5.019311,24639.143439,24644.143854
7.000000,4317.320000,1.000000,1.000000,1.000000,60.000000,24649.038389,5.021276,24649.511032,24654.503178
8.000000,4326.883000,1.000000,3.000000,3.000000,60.000000,24658.598390,5.024512,24659.070253,24664.070730
9.000000,4337.134000,1.000000,6.000000,3.000000,15.000000,24668.844492,5.022593,24669.321190,24674.313347
10.000000,4347.932000,1.000000,2.000000,2.000000,60.000000,24679.642507,5.027410,24680.105478,24685.114351
11.000000,4358.025000,1.000000,4.000000,1.000000,15.000000,24689.732520,5.019894,24690.214754,24695.206957
12.000000,4368.602000,1.000000,5.000000,2.000000,15.000000,24700.310562,5.022081,24700.782427,24705.782943
13.000000,4378.902000,1.000000,1.000000,1.000000,60.000000,24710.601558,5.020555,24711.066755,24716.058892
14.000000,4388.622000,1.000000,2.000000,2.000000,60.000000,24720.320608,5.023382,24720.784277,24725.784795
15.000000,4399.871000,1.000000,4.000000,1.000000,15.000000,24731.564794,5.023949,24732.035368,24737.035836
16.000000,4411.148000,1.000000,6.000000,3.000000,15.000000,24742.858736,5.022863,24743.336366,24748.336888
17.000000,4422.460000,1.000000,5.000000,2.000000,15.000000,24754.170703,5.023332,24754.637460,24759.637882
18.000000,4432.756000,1.000000,3.000000,3.000000,60.000000,24764.450729,5.020004,24764.913411,24769.913891
