iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4500.586000,0.000000,6.000000,3.000000,15.000000,24832.305955,0.000000,0.000000,0.000000
1.000000,4511.974000,0.000000,6.000000,3.000000,15.000000,24843.680917,0.000000,0.000000,0.000000
1.000000,4521.833000,1.000000,6.000000,3.000000,15.000000,24853.540962,5.026420,24854.013337,24859.013828
2.000000,4531.989000,0.000000,2.000000,2.000000,60.000000,24863.699940,0.000000,0.000000,0.000000
2.000000,4541.880000,0.000000,2.000000,2.000000,60.000000,24873.586948,0.000000,0.000000,0.000000
2.000000,4552.770000,1.000000,2.000000,2.000000,60.000000,24884.475992,5.026478,24884.932826,24889.941645
3.000000,4563.133000,1.000000,1.000000,1.000000,60.000000,24894.830079,5.020877,24895.300514,24900.292606
4.000000,4573.007000,1.000000,4.000000,1.000000,15.000000,24904.710090,5.027232,24905.176443,24910.185235
5.000000,4582.617000,1.000000,3.000000,3.000000,60.000000,24914.313074,5.022039,24914.802329,24919.794459
6.000000,4593.569000,1.000000,5.000000,2.000000,15.000000,24925.269160,5.019238,24925.745007,24930.745429
7.000000,4605.022000,1.000000,2.000000,2.000000,60.000000,24936.713164,5.024054,24937.187701,24942.188203
8.000000,4615.350000,1.000000,4.000000,1.000000,15.000000,24947.062175,5.026887,24947.530352,24952.539172
9.000000,4625.201000,0.000000,3.000000,3.000000,60.000000,24956.884193,0.000000,0.000000,0.000000
9.000000,4635.197000,1.000000,3.000000,3.000000,60.000000,24966.881200,5.024148,24967.357167,24972.357701
10.000000,4645.105000,0.000000,6.000000,3.000000,15.000000,24976.800280,0.000000,0.000000,0.000000
10.000000,4655.228000,0.000000,6.000000,3.000000,15.000000,24986.911326,0.000000,0.000000,0.000000
10.000000,4665.655000,0.000000,6.000000,3.000000,15.000000,24997.329337,0.000000,0.000000,0.000000
10.000000,4675.951000,0.000000,6.000000,3.000000,15.000000,25007.625374,0.000000,0.000000,0.000000
10.000000,4686.435000,0.000000,6.000000,3.000000,15.000000,25018.124394,0.000000,0.000000,0.000000
10.000000,4698.229000,0.000000,6.000000,3.000000,15.000000,25029.925426,0.000000,0.000000,0.000000
10.000000,4708.556000,1.000000,6.000000,3.000000,15.000000,25040.244451,5.025854,25040.722341,25045.722827
11.000000,4718.947000,1.000000,1.000000,1.000000,60.000000,25050.634417,5.024055,25051.098240,25056.098769
12.000000,4728.914000,1.000000,5.000000,2.000000,15.000000,25060.603483,5.020080,25061.074191,25066.066358
13.000000,4738.679000,1.000000,4.000000,1.000000,15.000000,25070.371533,5.024163,25070.841763,25075.842219
14.000000,4750.210000,1.000000,6.000000,3.000000,15.000000,25081.897543,5.021059,25082.367862,25087.360020
15.000000,4760.912000,1.000000,1.000000,1.000000,60.000000,25092.601584,5.025376,25093.068846,25098.069330
16.000000,4771.771000,1.000000,3.000000,3.000000,60.000000,25103.454590,5.020974,25103.928201,25108.920342
17.000000,4782.255000,1.000000,2.000000,2.000000,60.000000,25113.933599,5.023813,25114.395821,25119.396314
18.000000,4792.602000,1.000000,5.000000,2.000000,15.000000,25124.278691,5.025244,25124.746739,25129.747273
