iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4847.900000,0.000000,1.000000,1.000000,60.000000,25179.582800,0.000000,0.000000,0.000000
1.000000,4857.619000,1.000000,1.000000,1.000000,60.000000,25189.297846,5.019360,25189.761147,25194.761578
2.000000,4868.493000,1.000000,4.000000,1.000000,15.000000,25200.174849,5.024454,25200.645500,25205.645966
3.000000,4878.155000,1.000000,3.000000,3.000000,60.000000,25209.830851,5.026552,25210.296367,25215.305130
4.000000,4887.904000,0.000000,5.000000,2.000000,15.000000,25219.579931,0.000000,0.000000,0.000000
4.000000,4897.920000,0.000000,5.000000,2.000000,15.000000,25229.587868,0.000000,0.000000,0.000000
4.000000,4908.183000,0.000000,5.000000,2.000000,15.000000,25239.856949,0.000000,0.000000,0.000000
4.000000,4920.104000,1.000000,5.000000,2.000000,15.000000,25251.776014,5.024636,25252.250282,25257.250759
5.000000,4930.057000,1.000000,2.000000,2.000000,60.000000,25261.745011,5.023127,25262.217842,25267.218352
6.000000,4940.121000,1.000000,6.000000,3.000000,15.000000,25271.783071,5.023505,25272.277103,25277.277604
7.000000,4950.370000,0.000000,4.000000,1.000000,15.000000,25282.032068,0.000000,0.000000,0.000000
7.000000,4960.043000,0.000000,4.000000,1.000000,15.000000,25291.705084,0.000000,0.000000,0.000000
7.000000,4972.245000,0.000000,4.000000,1.000000,15.000000,25303.922085,0.000000,0.000000,0.000000
7.000000,4983.608000,1.000000,4.000000,1.000000,15.000000,25315.281149,5.021169,25315.747800,25320.748311
8.000000,4993.389000,1.000000,6.000000,3.000000,15.000000,25325.063182,5.025173,25325.540427,25330.540886
9.000000,5003.139000,0.000000,5.000000,2.000000,15.000000,25334.805221,0.000000,0.000000,0.000000
9.000000,5013.189000,1.000000,5.000000,2.000000,15.000000,25344.858255,5.024313,25345.325585,25350.326052
10.000000,5023.440000,0.000000,1.000000,1.000000,60.000000,25355.107250,0.000000,0.000000,0.000000
10.000000,5035.179000,0.000000,1.000000,1.000000,60.000000,25366.852313,0.000000,0.000000,0.000000
10.000000,5051.827000,1.000000,1.000000,1.000000,60.000000,25383.490362,5.021472,25383.962449,25388.962954
11.000000,5061.874000,1.000000,2.000000,2.000000,60.000000,25393.536337,5.025096,25394.005088,25399.005541
12.000000,5071.952000,1.000000,3.000000,3.000000,60.000000,25403.616396,5.022332,25404.080980,25409.081497
13.000000,5082.265000,0.000000,6.000000,3.000000,15.000000,25413.926464,0.000000,0.000000,0.000000
13.000000,5092.373000,0.000000,6.000000,3.000000,15.000000,25424.035405,0.000000,0.000000,0.000000
13.000000,5102.295000,0.000000,6.000000,3.000000,15.000000,25433.954477,0.000000,0.000000,0.000000
13.000000,5122.416000,1.000000,6.000000,3.000000,15.000000,25454.083516,5.026476,25454.560701,25459.569452
14.000000,5133.057000,1.000000,1.000000,1.000000,60.000000,25464.722552,5.023719,25465.186674,25470.187157
15.000000,5143.418000,1.000000,5.000000,2.000000,15.000000,25475.072592,5.020061,25475.545977,25480.546453
16.000000,5153.873000,1.000000,4.000000,1.000000,15.000000,25485.526640,5.024303,25485.988581,25490.989095
17.000000,5164.886000,1.000000,3.000000,3.000000,60.000000,25496.560621,5.023684,25497.039620,25502.040075
18.000000,5174.778000,0.000000,2.000000,2.000000,60.000000,25506.429656,0.000000,0.000000,0.000000
18.000000,5184.635000,1.000000,2.000000,2.000000,60.000000,25516.309718,5.019293,25516.783099,25521.775221
