iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,544979.634000,1.000000,5.000000,2.000000,15.000000,624283.249506,5.023371,624283.801984,624288.794067
2.000000,544990.805000,1.000000,4.000000,1.000000,15.000000,624294.427515,5.022390,624294.969633,624299.970104
3.000000,545003.520000,1.000000,1.000000,1.000000,60.000000,624307.131553,5.025563,624307.662485,624312.662942
4.000000,545015.410000,1.000000,6.000000,3.000000,15.000000,624319.022589,5.021133,624319.505207,624324.505700
5.000000,545025.376000,1.000000,3.000000,3.000000,60.000000,624328.989642,5.023613,624329.514470,624334.514987
6.000000,545035.980000,1.000000,2.000000,2.000000,60.000000,624339.577656,5.026480,624340.065442,624345.065973
7.000000,545046.842000,0.000000,1.000000,1.000000,60.000000,624350.439750,0.000000,0.000000,0.000000
7.000000,545056.995000,1.000000,1.000000,1.000000,60.000000,624360.594732,5.027008,624361.075717,624366.084512
8.000000,545067.333000,1.000000,3.000000,3.000000,60.000000,624370.921757,5.021570,624371.401713,624376.393828
9.000000,545077.504000,1.000000,6.000000,3.000000,15.000000,624381.094793,5.021671,624381.585972,624386.586413
10.000000,545087.177000,0.000000,4.000000,1.000000,15.000000,624390.760782,0.000000,0.000000,0.000000
10.000000,545097.373000,1.000000,4.000000,1.000000,15.000000,624400.953840,5.027036,624401.487774,624406.496585
11.000000,545116.106000,1.000000,2.000000,2.000000,60.000000,624419.679906,5.026039,624420.181192,624425.181651
12.000000,545126.101000,1.000000,5.000000,2.000000,15.000000,624429.668898,5.026032,624430.207133,624435.207598
13.000000,545136.256000,1.000000,6.000000,3.000000,15.000000,624439.823907,5.027828,624440.333057,624445.333512
14.000000,545146.115000,1.000000,4.000000,1.000000,15.000000,624449.680983,5.023643,624450.175603,624455.176080
15.000000,545156.125000,1.000000,5.000000,2.000000,15.000000,624459.682955,5.026566,624460.234900,624465.227040
16.000000,545166.312000,1.000000,2.000000,2.000000,60.000000,624469.862987,5.021237,624470.352477,624475.352946
17.000000,545177.530000,1.000000,3.000000,3.000000,60.000000,624481.081043,5.022796,624481.553509,624486.545648
18.000000,545187.681000,1.000000,1.000000,1.000000,60.000000,624491.221081,5.027548,624491.712765,624496.721608
