iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,545260.079000,1.000000,4.000000,1.000000,15.000000,624563.617251,5.026513,624564.111111,624569.111595
2.000000,545270.526000,1.000000,3.000000,3.000000,60.000000,624574.050253,5.022980,624574.553745,624579.554237
3.000000,545280.991000,0.000000,5.000000,2.000000,15.000000,624584.522317,0.000000,0.000000,0.000000
3.000000,545291.884000,1.000000,5.000000,2.000000,15.000000,624595.411323,5.027736,624595.905736,624600.914556
4.000000,545301.847000,1.000000,2.000000,2.000000,60.000000,624605.365374,5.019734,624605.864975,624610.857122
5.000000,545313.112000,1.000000,6.000000,3.000000,15.000000,624616.629378,5.025686,624617.166035,624622.166484
6.000000,545325.847000,1.000000,1.000000,1.000000,60.000000,624629.389425,5.024943,624629.875552,624634.876009
7.000000,545337.309000,1.000000,5.000000,2.000000,15.000000,624640.824476,5.022491,624641.309964,624646.310378
8.000000,545349.574000,1.000000,3.000000,3.000000,60.000000,624653.082532,5.026511,624653.552716,624658.553184
9.000000,545359.153000,1.000000,2.000000,2.000000,60.000000,624662.657492,5.022922,624663.153585,624668.154059
10.000000,545369.849000,1.000000,1.000000,1.000000,60.000000,624673.341520,5.021610,624673.829578,624678.821759
11.000000,545380.130000,1.000000,4.000000,1.000000,15.000000,624683.628760,5.020237,624684.122204,624689.122664
12.000000,545390.067000,1.000000,6.000000,3.000000,15.000000,624693.559573,5.026229,624694.031461,624699.031911
13.000000,545401.530000,1.000000,2.000000,2.000000,60.000000,624705.009650,5.023428,624705.507515,624710.507980
14.000000,545414.313000,0.000000,3.000000,3.000000,60.000000,624717.783641,0.000000,0.000000,0.000000
14.000000,545424.931000,0.000000,3.000000,3.000000,60.000000,624728.408796,0.000000,0.000000,0.000000
14.000000,545435.723000,0.000000,3.000000,3.000000,60.000000,624739.186722,0.000000,0.000000,0.000000
14.000000,545446.789000,0.000000,3.000000,3.000000,60.000000,624750.268737,0.000000,0.000000,0.000000
14.000000,545456.829000,1.000000,3.000000,3.000000,60.000000,624760.296756,5.023722,624760.787606,624765.788113
15.000000,545473.782000,0.000000,6.000000,3.000000,15.000000,624777.233792,0.000000,0.000000,0.000000
15.000000,545485.562000,0.000000,6.000000,3.000000,15.000000,624789.031840,0.000000,0.000000,0.000000
15.000000,545496.947000,1.000000,6.000000,3.000000,15.000000,624800.394871,5.025744,624800.908009,624805.908443
16.000000,545507.962000,0.000000,4.000000,1.000000,15.000000,624811.416890,0.000000,0.000000,0.000000
16.000000,545517.612000,1.000000,4.000000,1.000000,15.000000,624821.052012,5.022543,624821.584875,624826.585380
17.000000,545527.221000,0.000000,5.000000,2.000000,15.000000,624830.661952,0.000000,0.000000,0.000000
17.000000,545537.346000,1.000000,5.000000,2.000000,15.000000,624840.790980,5.026683,624841.270026,624846.278842
18.000000,545550.519000,0.000000,1.000000,1.000000,60.000000,624853.949035,0.000000,0.000000,0.000000
18.000000,545567.216000,0.000000,1.000000,1.000000,60.000000,624870.642085,0.000000,0.000000,0.000000
18.000000,545577.667000,0.000000,1.000000,1.000000,60.000000,624881.090141,0.000000,0.000000,0.000000
18.000000,545590.598000,0.000000,1.000000,1.000000,60.000000,624894.023148,0.000000,0.000000,0.000000
18.000000,545609.629000,0.000000,1.000000,1.000000,60.000000,624913.053170,0.000000,0.000000,0.000000
18.000000,545621.685000,1.000000,1.000000,1.000000,60.000000,624925.100195,5.020451,624925.586144,624930.586632
