iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,1225.918000,1.000000,2.000000,2.000000,60.000000,698197.283268,5.027325,698197.776963,698202.777429
2.000000,1235.913000,0.000000,5.000000,2.000000,15.000000,698207.303484,0.000000,0.000000,0.000000
2.000000,1245.857000,1.000000,5.000000,2.000000,15.000000,698217.234305,5.026703,698217.728792,698222.729254
3.000000,1258.482000,0.000000,1.000000,1.000000,60.000000,698229.856579,0.000000,0.000000,0.000000
3.000000,1268.386000,0.000000,1.000000,1.000000,60.000000,698239.759399,0.000000,0.000000,0.000000
3.000000,1278.311000,1.000000,1.000000,1.000000,60.000000,698249.679360,5.020265,698250.165092,698255.165586
4.000000,1289.594000,0.000000,3.000000,3.000000,60.000000,698260.964415,0.000000,0.000000,0.000000
4.000000,1305.391000,1.000000,3.000000,3.000000,60.000000,698276.757463,5.020646,698277.284254,698282.284736
5.000000,1315.297000,1.000000,4.000000,1.000000,15.000000,698286.666501,5.019711,698287.218528,698292.210657
6.000000,1327.968000,1.000000,6.000000,3.000000,15.000000,698299.338547,5.025641,698299.911363,698304.911821
7.000000,1337.767000,1.000000,6.000000,3.000000,15.000000,698309.133515,5.026620,698309.678931,698314.679408
8.000000,1347.720000,1.000000,5.000000,2.000000,15.000000,698319.082598,5.023222,698319.571504,698324.571973
9.000000,1357.731000,1.000000,4.000000,1.000000,15.000000,698329.098597,5.020442,698329.597434,698334.589554
10.000000,1367.810000,1.000000,2.000000,2.000000,60.000000,698339.177631,5.027407,698339.664998,698344.673857
11.000000,1377.951000,0.000000,3.000000,3.000000,60.000000,698349.317665,0.000000,0.000000,0.000000
11.000000,1388.028000,1.000000,3.000000,3.000000,60.000000,698359.387760,5.026897,698359.883535,698364.884006
12.000000,1397.559000,0.000000,1.000000,1.000000,60.000000,698368.918702,0.000000,0.000000,0.000000
12.000000,1407.307000,0.000000,1.000000,1.000000,60.000000,698378.672746,0.000000,0.000000,0.000000
12.000000,1417.038000,1.000000,1.000000,1.000000,60.000000,698388.404751,5.023185,698388.952907,698393.945021
13.000000,1429.557000,1.000000,2.000000,2.000000,60.000000,698400.918787,5.026354,698401.420711,698406.421190
14.000000,1441.275000,0.000000,3.000000,3.000000,60.000000,698412.642823,0.000000,0.000000,0.000000
14.000000,1451.046000,1.000000,3.000000,3.000000,60.000000,698422.394860,5.023463,698422.931071,698427.931506
15.000000,1460.686000,1.000000,1.000000,1.000000,60.000000,698432.036153,5.020003,698432.548564,698437.540715
16.000000,1470.670000,1.000000,5.000000,2.000000,15.000000,698442.040899,5.025779,698442.574509,698447.574974
17.000000,1483.592000,1.000000,6.000000,3.000000,15.000000,698454.952225,5.021556,698455.534038,698460.526162
18.000000,1493.568000,1.000000,4.000000,1.000000,15.000000,698464.918956,5.025408,698465.443264,698470.443748
