iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,1560.505000,0.000000,4.000000,1.000000,15.000000,698531.855166,0.000000,0.000000,0.000000
1.000000,1570.286000,0.000000,4.000000,1.000000,15.000000,698541.636164,0.000000,0.000000,0.000000
1.000000,1582.129000,1.000000,4.000000,1.000000,15.000000,698553.476209,5.027226,698553.976442,698558.976916
2.000000,1594.927000,0.000000,5.000000,2.000000,15.000000,698566.270253,0.000000,0.000000,0.000000
2.000000,1605.006000,1.000000,5.000000,2.000000,15.000000,698576.365269,5.019257,698576.911913,698581.904017
3.000000,1615.320000,1.000000,2.000000,2.000000,60.000000,698586.654328,5.025960,698587.129501,698592.129961
4.000000,1625.101000,1.000000,6.000000,3.000000,15.000000,698596.457494,5.024185,698596.955411,698601.955903
5.000000,1634.647000,1.000000,3.000000,3.000000,60.000000,698605.980552,5.026513,698606.556330,698611.556740
6.000000,1644.319000,1.000000,1.000000,1.000000,60.000000,698615.651361,5.020990,698616.148836,698621.140974
7.000000,1654.025000,1.000000,5.000000,2.000000,15.000000,698625.356381,5.025330,698625.874718,698630.875205
8.000000,1663.633000,1.000000,4.000000,1.000000,15.000000,698634.969420,5.021234,698635.492275,698640.484439
9.000000,1674.711000,1.000000,2.000000,2.000000,60.000000,698646.045435,5.021489,698646.551652,698651.552117
10.000000,1684.462000,1.000000,6.000000,3.000000,15.000000,698655.794463,5.026312,698656.352570,698661.353016
11.000000,1694.586000,1.000000,1.000000,1.000000,60.000000,698665.915512,5.024154,698666.403446,698671.403920
12.000000,1704.758000,0.000000,3.000000,3.000000,60.000000,698676.084514,0.000000,0.000000,0.000000
12.000000,1714.615000,1.000000,3.000000,3.000000,60.000000,698685.949561,5.027496,698686.430316,698691.439127
13.000000,1724.269000,1.000000,5.000000,2.000000,15.000000,698695.613809,5.019508,698696.122869,698701.115003
14.000000,1736.878000,1.000000,2.000000,2.000000,60.000000,698708.217602,5.027234,698708.707358,698713.716199
15.000000,1746.843000,1.000000,6.000000,3.000000,15.000000,698718.190639,5.023799,698718.708308,698723.708759
16.000000,1756.577000,1.000000,4.000000,1.000000,15.000000,698727.922665,5.027618,698728.425833,698733.426330
17.000000,1766.766000,1.000000,3.000000,3.000000,60.000000,698738.105691,5.020592,698738.601780,698743.593926
18.000000,1778.659000,1.000000,1.000000,1.000000,60.000000,698749.992728,5.024017,698750.477889,698755.478357
