iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,694.410000,0.000000,1.000000,1.000000,60.000000,697665.844925,0.000000,0.000000,0.000000
1.000000,706.128000,0.000000,1.000000,1.000000,60.000000,697677.530882,0.000000,0.000000,0.000000
1.000000,725.011000,0.000000,1.000000,1.000000,60.000000,697696.420949,0.000000,0.000000,0.000000
1.000000,734.901000,0.000000,1.000000,1.000000,60.000000,697706.295943,0.000000,0.000000,0.000000
1.000000,748.727000,1.000000,1.000000,1.000000,60.000000,697720.132006,5.023632,697720.641295,697725.633431
2.000000,758.589000,1.000000,6.000000,3.000000,15.000000,697729.993029,5.023845,697730.583898,697735.584349
3.000000,772.028000,1.000000,2.000000,2.000000,60.000000,697743.428059,5.021070,697743.943474,697748.935608
4.000000,782.260000,1.000000,3.000000,3.000000,60.000000,697753.653097,5.025395,697754.177711,697759.178210
5.000000,792.451000,0.000000,5.000000,2.000000,15.000000,697763.842323,0.000000,0.000000,0.000000
5.000000,802.968000,1.000000,5.000000,2.000000,15.000000,697774.356146,5.025982,697774.871278,697779.871768
6.000000,814.186000,0.000000,4.000000,1.000000,15.000000,697785.571171,0.000000,0.000000,0.000000
6.000000,824.014000,1.000000,4.000000,1.000000,15.000000,697795.420202,5.024036,697795.939898,697800.940365
7.000000,834.311000,1.000000,6.000000,3.000000,15.000000,697805.708236,5.025736,697806.232531,697811.232968
8.000000,845.828000,1.000000,3.000000,3.000000,60.000000,697817.221264,5.021795,697817.708582,697822.709056
9.000000,855.763000,1.000000,1.000000,1.000000,60.000000,697827.157277,5.024087,697827.651178,697832.651626
10.000000,865.933000,0.000000,5.000000,2.000000,15.000000,697837.327313,0.000000,0.000000,0.000000
10.000000,880.104000,0.000000,5.000000,2.000000,15.000000,697851.493469,0.000000,0.000000,0.000000
10.000000,890.149000,1.000000,5.000000,2.000000,15.000000,697861.536361,5.023678,697862.037649,697867.038135
11.000000,903.414000,0.000000,2.000000,2.000000,60.000000,697874.814399,0.000000,0.000000,0.000000
11.000000,913.414000,0.000000,2.000000,2.000000,60.000000,697884.796461,0.000000,0.000000,0.000000
11.000000,923.622000,0.000000,2.000000,2.000000,60.000000,697895.018470,0.000000,0.000000,0.000000
11.000000,933.375000,0.000000,2.000000,2.000000,60.000000,697904.763466,0.000000,0.000000,0.000000
11.000000,943.261000,0.000000,2.000000,2.000000,60.000000,697914.640517,0.000000,0.000000,0.000000
11.000000,952.862000,0.000000,2.000000,2.000000,60.000000,697924.249789,0.000000,0.000000,0.000000
11.000000,964.099000,1.000000,2.000000,2.000000,60.000000,697935.486561,5.026306,697935.986133,697940.986621
12.000000,976.079000,1.000000,4.000000,1.000000,15.000000,697947.457600,5.021620,697947.962247,697952.962729
13.000000,986.172000,0.000000,3.000000,3.000000,60.000000,697957.556618,0.000000,0.000000,0.000000
13.000000,996.406000,0.000000,3.000000,3.000000,60.000000,697967.785651,0.000000,0.000000,0.000000
13.000000,1006.702000,1.000000,3.000000,3.000000,60.000000,697978.078704,5.023916,697978.631754,697983.632230
14.000000,1017.808000,0.000000,6.000000,3.000000,15.000000,697989.201710,0.000000,0.000000,0.000000
14.000000,1028.355000,1.000000,6.000000,3.000000,15.000000,697999.733750,5.020255,698000.267062,698005.259205
15.000000,1039.901000,1.000000,2.000000,2.000000,60.000000,698011.274753,5.021008,698011.768124,698016.768577
16.000000,1050.668000,1.000000,1.000000,1.000000,60.000000,698022.040809,5.024402,698022.552507,698027.552938
17.000000,1060.475000,0.000000,4.000000,1.000000,15.000000,698031.852820,0.000000,0.000000,0.000000
17.000000,1070.542000,1.000000,4.000000,1.000000,15.000000,698041.932883,5.021735,698042.445965,698047.438128
18.000000,1080.307000,1.000000,5.000000,2.000000,15.000000,698051.692865,5.020764,698052.230187,698057.230645
