iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,5278.492000,0.000000,6.000000,3.000000,15.000000,707851.466156,0.000000,0.000000,0.000000
1.000000,5290.304000,1.000000,6.000000,3.000000,15.000000,707863.260161,5.020486,707863.751472,707868.752038
2.000000,5301.320000,1.000000,2.000000,2.000000,60.000000,707874.274369,5.019466,707874.744338,707879.736558
3.000000,5311.101000,1.000000,1.000000,1.000000,60.000000,707884.060540,5.022052,707884.537098,707889.537593
4.000000,5320.710000,1.000000,5.000000,2.000000,15.000000,707893.661765,5.027431,707894.146471,707899.146982
5.000000,5330.913000,1.000000,4.000000,1.000000,15.000000,707903.864907,5.019747,707904.339191,707909.339762
6.000000,5340.443000,1.000000,3.000000,3.000000,60.000000,707913.394049,5.027637,707913.865243,707918.865798
7.000000,5351.880000,1.000000,3.000000,3.000000,60.000000,707924.832275,5.025355,707925.316493,707930.317027
8.000000,5363.161000,1.000000,2.000000,2.000000,60.000000,707936.115445,5.019404,707936.584361,707941.576547
9.000000,5372.865000,1.000000,5.000000,2.000000,15.000000,707945.810637,5.023724,707946.293746,707951.294263
10.000000,5382.568000,1.000000,4.000000,1.000000,15.000000,707955.518855,5.019558,707955.994814,707960.987010
11.000000,5392.100000,1.000000,6.000000,3.000000,15.000000,707965.047939,5.019442,707965.529168,707970.529681
12.000000,5403.022000,1.000000,1.000000,1.000000,60.000000,707975.971178,5.020288,707976.438686,707981.430880
13.000000,5413.381000,1.000000,4.000000,1.000000,15.000000,707986.324434,5.023038,707986.798139,707991.798710
14.000000,5425.023000,1.000000,1.000000,1.000000,60.000000,707997.983577,5.023935,707998.449408,708003.449970
15.000000,5435.566000,1.000000,3.000000,3.000000,60.000000,708008.522789,5.027092,708008.992167,708014.001087
16.000000,5445.364000,1.000000,5.000000,2.000000,15.000000,708018.302931,5.021814,708018.776596,708023.768767
17.000000,5457.643000,1.000000,6.000000,3.000000,15.000000,708030.595179,5.019664,708031.069584,708036.070113
18.000000,5468.492000,1.000000,2.000000,2.000000,60.000000,708041.438394,5.021756,708041.912406,708046.904591
