iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,5558.415000,1.000000,4.000000,1.000000,15.000000,708131.349969,5.021693,708131.830431,708136.822651
2.000000,5567.915000,1.000000,5.000000,2.000000,15.000000,708140.857028,5.022107,708141.348146,708146.348704
3.000000,5577.494000,1.000000,1.000000,1.000000,60.000000,708150.434184,5.024944,708150.907494,708155.908049
4.000000,5586.996000,1.000000,6.000000,3.000000,15.000000,708159.933413,5.026151,708160.416871,708165.417390
5.000000,5596.777000,1.000000,3.000000,3.000000,60.000000,708169.711541,5.021634,708170.184576,708175.176781
6.000000,5606.621000,0.000000,2.000000,2.000000,60.000000,708179.553701,0.000000,0.000000,0.000000
6.000000,5616.258000,0.000000,2.000000,2.000000,60.000000,708189.199863,0.000000,0.000000,0.000000
6.000000,5628.398000,1.000000,2.000000,2.000000,60.000000,708201.329076,5.026580,708201.804682,708206.813526
7.000000,5637.913000,1.000000,2.000000,2.000000,60.000000,708210.869246,5.021502,708211.339042,708216.331282
8.000000,5647.848000,1.000000,3.000000,3.000000,60.000000,708220.785456,5.025316,708221.265086,708226.265687
9.000000,5657.488000,1.000000,1.000000,1.000000,60.000000,708230.430586,5.020015,708230.899470,708235.891730
10.000000,5667.644000,0.000000,6.000000,3.000000,15.000000,708240.580764,0.000000,0.000000,0.000000
10.000000,5677.409000,0.000000,6.000000,3.000000,15.000000,708250.352003,0.000000,0.000000,0.000000
10.000000,5687.221000,1.000000,6.000000,3.000000,15.000000,708260.155177,5.027718,708260.636035,708265.636562
11.000000,5696.862000,1.000000,4.000000,1.000000,15.000000,708269.795333,5.022829,708270.270386,708275.262604
12.000000,5706.539000,1.000000,5.000000,2.000000,15.000000,708279.470537,5.025286,708279.946430,708284.946980
13.000000,5716.058000,1.000000,1.000000,1.000000,60.000000,708289.001579,5.024326,708289.464150,708294.464659
14.000000,5725.645000,1.000000,6.000000,3.000000,15.000000,708298.578851,5.023750,708299.048518,708304.049065
15.000000,5738.883000,1.000000,5.000000,2.000000,15.000000,708311.823080,5.022689,708312.299954,708317.292115
16.000000,5748.648000,0.000000,4.000000,1.000000,15.000000,708321.586252,0.000000,0.000000,0.000000
16.000000,5759.179000,1.000000,4.000000,1.000000,15.000000,708332.102443,5.021457,708332.577113,708337.569300
17.000000,5771.354000,1.000000,3.000000,3.000000,60.000000,708344.290582,5.026917,708344.753439,708349.762323
18.000000,5782.697000,1.000000,2.000000,2.000000,60.000000,708355.628826,5.020892,708356.104673,708361.096896
