iTrial,plexonGoTime,Success,trialType,eyeCond,Check Size (arcmin),trialLocalGoTime,Stim 1 dur,Stim 1 start,Stim 1 end
1.000000,4862.982000,0.000000,5.000000,2.000000,15.000000,707435.989018,0.000000,0.000000,0.000000
1.000000,4875.444000,1.000000,5.000000,2.000000,15.000000,707448.453027,5.022231,707448.931625,707453.932224
2.000000,4889.538000,1.000000,4.000000,1.000000,15.000000,707462.539270,5.022974,707463.016516,707468.008732
3.000000,4900.610000,1.000000,3.000000,3.000000,60.000000,707473.602495,5.020195,707474.067710,707479.068244
4.000000,4917.750000,1.000000,6.000000,3.000000,15.000000,707490.749804,5.021371,707491.244571,707496.236762
5.000000,4930.447000,1.000000,2.000000,2.000000,60.000000,707503.430995,5.022748,707503.895932,707508.896493
6.000000,4940.572000,0.000000,1.000000,1.000000,60.000000,707513.550113,0.000000,0.000000,0.000000
6.000000,4950.104000,0.000000,1.000000,1.000000,60.000000,707523.088378,0.000000,0.000000,0.000000
6.000000,4962.847000,1.000000,1.000000,1.000000,60.000000,707535.833592,5.020870,707536.299460,707541.291643
7.000000,4974.847000,0.000000,1.000000,1.000000,60.000000,707547.820808,0.000000,0.000000,0.000000
7.000000,4984.362000,0.000000,1.000000,1.000000,60.000000,707557.338954,0.000000,0.000000,0.000000
7.000000,4995.726000,0.000000,1.000000,1.000000,60.000000,707568.700170,0.000000,0.000000,0.000000
7.000000,5006.162000,1.000000,1.000000,1.000000,60.000000,707579.134314,5.027000,707579.595807,707584.596348
8.000000,5017.412000,1.000000,4.000000,1.000000,15.000000,707590.378544,5.026324,707590.855317,707595.855881
9.000000,5027.103000,0.000000,3.000000,3.000000,60.000000,707600.072689,0.000000,0.000000,0.000000
9.000000,5038.915000,0.000000,3.000000,3.000000,60.000000,707611.871858,0.000000,0.000000,0.000000
9.000000,5049.072000,0.000000,3.000000,3.000000,60.000000,707622.035980,0.000000,0.000000,0.000000
9.000000,5058.978000,1.000000,3.000000,3.000000,60.000000,707631.941139,5.024281,707632.426489,707637.427031
10.000000,5068.650000,0.000000,5.000000,2.000000,15.000000,707641.611314,0.000000,0.000000,0.000000
10.000000,5078.557000,0.000000,5.000000,2.000000,15.000000,707651.525537,0.000000,0.000000,0.000000
10.000000,5089.195000,1.000000,5.000000,2.000000,15.000000,707662.169688,5.022351,707662.654752,707667.646969
11.000000,5098.977000,1.000000,2.000000,2.000000,60.000000,707671.931902,5.019649,707672.405829,707677.406354
12.000000,5112.397000,1.000000,6.000000,3.000000,15.000000,707685.367087,5.026937,707685.848917,707690.849484
13.000000,5124.804000,1.000000,3.000000,3.000000,60.000000,707697.770332,5.024745,707698.250290,707703.250822
14.000000,5135.116000,1.000000,5.000000,2.000000,15.000000,707708.077490,5.019461,707708.559747,707713.551932
15.000000,5146.725000,1.000000,2.000000,2.000000,60.000000,707719.681773,5.025560,707720.169333,707725.169875
16.000000,5158.148000,1.000000,4.000000,1.000000,15.000000,707731.098977,5.019543,707731.570533,707736.562747
17.000000,5169.896000,1.000000,1.000000,1.000000,60.000000,707742.869307,5.023507,707743.346796,707748.347345
18.000000,5179.868000,1.000000,6.000000,3.000000,15.000000,707752.829288,5.023720,707753.314570,707758.315076
